         200     = number of Te values
Te [keV]
  4.95e-35  4.97e-35  4.99e-35  5.01e-35  5.03e-35  5.05e-35  5.07e-35  5.09e-35
  5.11e-35  5.12e-35  5.13e-35  5.14e-35  5.16e-35  5.17e-35  5.18e-35  5.19e-35
  5.20e-35  5.21e-35  5.22e-35  5.22e-35  5.23e-35  5.23e-35  5.24e-35  5.25e-35
O_ Lz[W m^3]
  4.78e-39  6.48e-39  8.71e-39  1.14e-38  1.44e-38  1.81e-38  2.28e-38  2.87e-38
  3.61e-38  4.55e-38  5.69e-38  7.09e-38  8.83e-38  1.10e-37  1.37e-37  1.67e-37
  1.99e-37  2.39e-37  2.85e-37  3.39e-37  4.03e-37  4.78e-37  5.66e-37  6.70e-37
  7.90e-37  9.30e-37  1.09e-36  1.24e-36  1.40e-36  1.58e-36  1.77e-36  1.98e-36
  2.21e-36  2.45e-36  2.71e-36  2.97e-36  3.24e-36  3.52e-36  3.79e-36  4.06e-36
  4.33e-36  4.61e-36  4.90e-36  5.19e-36  5.48e-36  5.78e-36  6.08e-36  6.39e-36
  6.71e-36  7.03e-36  7.36e-36  7.68e-36  7.98e-36  8.30e-36  8.62e-36  8.95e-36
  9.28e-36  9.63e-36  9.98e-36  1.03e-35  1.07e-35  1.10e-35  1.13e-35  1.17e-35
  1.20e-35  1.24e-35  1.27e-35  1.31e-35  1.35e-35  1.39e-35  1.43e-35  1.47e-35
  1.51e-35  1.56e-35  1.60e-35  1.65e-35  1.69e-35  1.73e-35  1.77e-35  1.80e-35
  1.84e-35  1.88e-35  1.92e-35  1.96e-35  2.00e-35  2.05e-35  2.11e-35  2.16e-35
  2.22e-35  2.28e-35  2.34e-35  2.40e-35  2.46e-35  2.51e-35  2.56e-35  2.61e-35
  2.67e-35  2.72e-35  2.77e-35  2.83e-35  2.88e-35  2.94e-35  3.00e-35  3.06e-35
  3.13e-35  3.19e-35  3.26e-35  3.32e-35  3.39e-35  3.46e-35  3.53e-35  3.59e-35
  3.65e-35  3.72e-35  3.79e-35  3.86e-35  3.93e-35  4.00e-35  4.05e-35  4.10e-35
  4.14e-35  4.19e-35  4.24e-35  4.28e-35  4.33e-35  4.38e-35  4.43e-35  4.50e-35
  4.56e-35  4.62e-35  4.69e-35  4.75e-35  4.82e-35  4.88e-35  4.95e-35  5.01e-35
  5.07e-35  5.13e-35  5.19e-35  5.25e-35  5.31e-35  5.37e-35  5.44e-35  5.49e-35
