SEQ='BE'     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  76039261.2   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   257223.7 

   LS RESOLVED TERM INDEXING            BWNR=  82908802.3   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   239     2    2P1 8J1             (1)7( 7.0)  6740941.9 
   240     2    2P1 8J1             (3)8(25.0)  6740941.9 
   241     2    2P1 8J1             (1)8( 8.0)  6740941.9 
   242     2    2P1 8F1             (3)2( 7.0)  6741172.7 
   243     2    2P1 8F1             (1)4( 4.0)  6741433.2 
   244     2    2P1 8F1             (1)2( 2.0)  6741574.0 
   245     2    2P1 8D1             (1)1( 1.0)  6741846.6 
   246     2    2P1 8D1             (1)3( 3.0)  6741923.3 

   N-SHELL INDEXING                                     NREP= 42
   ----------------
   IREP    N
   -----   -
     1     1
     2     2
     3     3
     4     4
     5     5
     6     6
     7     7
     8     8
     9     9
    10    10
    11    11
    12    12
    13    13
    14    14
    15    15
    16    16
    17    18
    18    20
    19    22
    20    25
    21    29
    22    35
    23    39
    24    45
    25    49
    26    55
    27    61
    28    70
    29    81
    30   100
    31   115
    32   140
    33   162
    34   200
    35   235
    36   300
    37   353
    38   450
    39   535
    40   700
    41   811
    42   999



 --------------------------------
 PRTI= 1  TRMPRT= (2S)  SPNPRT= 2

   INDX TE=  2.25E+03  4.50E+03  1.13E+04  2.25E+04  4.50E+04  1.13E+05  2.25E+05  4.50E+05  1.13E+06  2.25E+06
   ---- ---  4.50E+06  1.13E+07  2.25E+07  4.50E+07  1.13E+08  2.25E+08  4.50E+08  1.13E+09  2.25E+09
     1       6.21E-12  4.39E-12  2.78E-12  1.96E-12  1.39E-12  8.78E-13  6.21E-13  4.39E-13  2.77E-13  1.94E-13
             1.35E-13  7.99E-14  5.10E-14  3.06E-14  1.40E-14  7.11E-15  3.38E-15  1.16E-15  4.84E-16
     2       3.07E-11  2.17E-11  1.37E-11  9.67E-12  6.82E-12  4.28E-12  2.99E-12  2.07E-12  1.23E-12  7.94E-13
             4.85E-13  2.26E-13  1.15E-13  5.42E-14  1.79E-14  7.21E-15  2.78E-15  7.54E-16  2.74E-16
     3       9.26E-12  6.55E-12  4.14E-12  2.92E-12  2.06E-12  1.29E-12  9.06E-13  6.27E-13  3.74E-13  2.43E-13
             1.50E-13  7.05E-14  3.63E-14  1.72E-14  5.70E-15  2.31E-15  8.92E-16  2.42E-16  8.82E-17
     6       2.50E-13  1.77E-13  1.12E-13  7.91E-14  5.60E-14  3.55E-14  2.52E-14  1.79E-14  1.16E-14  8.34E-15
             6.01E-15  3.78E-15  2.52E-15  1.57E-15  7.46E-16  3.87E-16  1.87E-16  6.47E-17  2.72E-17
     7       3.02E-12  2.13E-12  1.35E-12  9.54E-13  6.75E-13  4.27E-13  3.02E-13  2.13E-13  1.35E-13  9.42E-14
             6.50E-14  3.79E-14  2.39E-14  1.42E-14  6.41E-15  3.24E-15  1.53E-15  5.22E-16  2.18E-16
     8       9.51E-13  6.73E-13  4.25E-13  3.01E-13  2.13E-13  1.35E-13  9.54E-14  6.76E-14  4.28E-14  3.02E-14
             2.09E-14  1.23E-14  7.83E-15  4.67E-15  2.12E-15  1.07E-15  5.08E-16  1.73E-16  7.24E-17
     9       1.00E-11  7.10E-12  4.49E-12  3.17E-12  2.24E-12  1.40E-12  9.83E-13  6.81E-13  4.06E-13  2.63E-13
             1.62E-13  7.55E-14  3.86E-14  1.81E-14  5.98E-15  2.41E-15  9.31E-16  2.52E-16  9.17E-17
    10       3.29E-12  2.32E-12  1.47E-12  1.04E-12  7.32E-13  4.60E-13  3.22E-13  2.23E-13  1.33E-13  8.66E-14
             5.32E-14  2.49E-14  1.28E-14  6.01E-15  1.98E-15  8.00E-16  3.09E-16  8.36E-17  3.04E-17
    11       1.12E-11  7.93E-12  5.00E-12  3.52E-12  2.47E-12  1.53E-12  1.04E-12  6.92E-13  3.72E-13  2.14E-13
             1.13E-13  4.21E-14  1.81E-14  7.31E-15  2.04E-15  7.51E-16  2.72E-16  6.97E-17  2.48E-17
    12       3.57E-12  2.52E-12  1.59E-12  1.12E-12  7.87E-13  4.87E-13  3.33E-13  2.21E-13  1.19E-13  6.89E-14
             3.65E-14  1.36E-14  5.89E-15  2.37E-15  6.64E-16  2.45E-16  8.85E-17  2.27E-17  8.07E-18
    27       1.34E-12  9.46E-13  5.98E-13  4.23E-13  2.99E-13  1.89E-13  1.34E-13  9.45E-14  5.94E-14  4.13E-14
             2.83E-14  1.63E-14  1.02E-14  6.00E-15  2.69E-15  1.35E-15  6.39E-16  2.17E-16  9.06E-17
    28       4.32E-13  3.05E-13  1.93E-13  1.37E-13  9.66E-14  6.12E-14  4.33E-14  3.06E-14  1.93E-14  1.35E-14
             9.28E-15  5.38E-15  3.37E-15  1.99E-15  8.93E-16  4.50E-16  2.12E-16  7.22E-17  3.01E-17
    29       4.63E-12  3.27E-12  2.07E-12  1.46E-12  1.03E-12  6.47E-13  4.53E-13  3.14E-13  1.87E-13  1.21E-13
             7.38E-14  3.43E-14  1.74E-14  8.17E-15  2.68E-15  1.08E-15  4.16E-16  1.13E-16  4.09E-17
