SEQ='N '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  94468457.0   NPRNTI= 4   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   230     2    2S2 2P2 6G1         (2)5(10.5)  4613831.8 
   231     2    2S2 2P2 6G1         (2)6(12.5)  4613831.8 
   232     2    2S2 2P2 6F1         (2)5(10.5)  4613919.3 
   233     2    2S2 2P2 6F1         (2)2( 4.5)  4613951.6 
   234     2    2S2 2P2 6H1         (2)3( 6.5)  4614143.0 
   235     2    2S2 2P2 6H1         (2)4( 8.5)  4614143.0 
   236     2    2S2 2P2 6H1         (2)5(10.5)  4614143.0 
   237     2    2S2 2P2 6H1         (2)6(12.5)  4614143.0 
   238     2    2S2 2P2 6H1         (2)7(14.5)  4614143.0 
   239     2    2S2 2P2 6F1         (2)1( 2.5)  4615047.5 
   240     1    2S2 2P2 7S1         (4)1( 5.5)  4638190.1 
   241     1    2S2 2P2 7S1         (2)1( 2.5)  4639621.9 
   242     3    2S2 2P2 6S1         (2)0( 0.5)  4643484.0 
   243     1    2S2 2P2 7P1         (2)0( 0.5)  4645994.5 
   244     1    2S2 2P2 7P1         (4)2( 9.5)  4646808.7 
   245     1    2S2 2P2 7P1         (4)1( 5.5)  4647351.4 
   246     1    2S2 2P2 7P1         (4)0( 1.5)  4649262.5 
   247     1    2S2 2P2 7P1         (2)2( 4.5)  4649320.7 
   248     1    2S2 2P2 7P1         (2)1( 2.5)  4650520.7 
   249     1    2S2 2P2 7D1         (4)3(13.5)  4655948.5 
   250     1    2S2 2P2 7D1         (4)2( 9.5)  4656696.2 
   251     1    2S2 2P2 7D1         (2)1( 2.5)  4657052.3 
   252     1    2S2 2P2 7D1         (4)1( 5.5)  4657801.2 
   253     3    2S2 2P2 6P1         (2)1( 2.5)  4658488.1 
   254     1    2S2 2P2 7D1         (2)3( 6.5)  4658976.3 
   255     1    2S2 2P2 7D1         (2)2( 4.5)  4660607.7 
   256     1    2S2 2P2 7F1         (4)2( 9.5)  4661712.2 
   257     1    2S2 2P2 7F1         (4)4(17.5)  4661722.9 
   258     1    2S2 2P2 7F1         (2)2( 4.5)  4661752.5 
   259     1    2S2 2P2 7F1         (2)4( 8.5)  4662179.6 
   260     1    2S2 2P2 7G1         (4)3(13.5)  4662376.8 
   261     1    2S2 2P2 7G1         (2)3( 6.5)  4662376.8 
   262     1    2S2 2P2 7G1         (4)4(17.5)  4662376.8 
   263     1    2S2 2P2 7G1         (2)4( 8.5)  4662376.8 
   264     1    2S2 2P2 7G1         (4)5(21.5)  4662376.8 
   265     1    2S2 2P2 7G1         (2)5(10.5)  4662376.8 
   266     1    2S2 2P2 7F1         (4)3(13.5)  4662449.1 
   267     1    2S2 2P2 7H1         (4)4(17.5)  4662572.7 
   268     1    2S2 2P2 7H1         (2)4( 8.5)  4662572.7 
   269     1    2S2 2P2 7H1         (4)5(21.5)  4662572.7 
   270     1    2S2 2P2 7H1         (2)5(10.5)  4662572.7 
   271     1    2S2 2P2 7H1         (4)6(25.5)  4662572.7 
   272     1    2S2 2P2 7H1         (2)6(12.5)  4662572.7 
   273     1    2S2 2P2 7I1         (4)5(21.5)  4662660.2 
   274     1    2S2 2P2 7I1         (2)5(10.5)  4662660.2 
   275     1    2S2 2P2 7I1         (4)6(25.5)  4662660.2 
   276     1    2S2 2P2 7I1         (2)6(12.5)  4662660.2 
   277     1    2S2 2P2 7I1         (4)7(29.5)  4662660.2 
   278     1    2S2 2P2 7I1         (2)7(14.5)  4662660.2 
   279     1    2S2 2P2 7F1         (2)3( 6.5)  4663069.0 
   280     3    2S2 2P2 6D1         (2)2( 4.5)  4673789.1 
   281     3    2S2 2P2 6F1         (2)3( 6.5)  4681218.7 
   282     3    2S2 2P2 6G1         (2)4( 8.5)  4681552.8 
   283     3    2S2 2P2 6H1         (2)5(10.5)  4681864.0 
   284     4    2S1 2P3 6S1         (6)0( 2.5)  4690327.2 
   285     4    2S1 2P3 6S1         (4)0( 1.5)  4695480.8 
   286     4    2S1 2P3 6P1         (6)1( 8.5)  4704841.8 
   287     5    2S1 2P3 5P1         (4)1( 5.5)  4706784.7 
   288     2    2S2 2P2 7S1         (2)2( 4.5)  4706816.3 
   289     4    2S1 2P3 6P1         (4)1( 5.5)  4709957.7 
   290     2    2S2 2P2 7P1         (2)3( 6.5)  4715644.4 
   291     2    2S2 2P2 7P1         (2)2( 4.5)  4716209.3 
   292     2    2S2 2P2 7P1         (2)1( 2.5)  4717257.3 
   293     4    2S1 2P3 6D1         (6)2(14.5)  4719300.0 
   294     1    2S2 2P2 8S1         (4)1( 5.5)  4722044.9 
   295     1    2S2 2P2 8S1         (2)1( 2.5)  4722980.3 
   296     2    2S2 2P2 7D1         (2)4( 8.5)  4725122.4 
   297     2    2S2 2P2 7D1         (2)3( 6.5)  4725201.7 
   298     2    2S2 2P2 7D1         (2)2( 4.5)  4725931.7 
   299     4    2S1 2P3 6D1         (4)2( 9.5)  4726233.5 
   300     2    2S2 2P2 7D1         (2)1( 2.5)  4726867.8 
   301     1    2S2 2P2 8P1         (2)0( 0.5)  4727225.7 
   302     2    2S2 2P2 7D1         (2)0( 0.5)  4727410.0 
   303     1    2S2 2P2 8P1         (4)2( 9.5)  4727759.9 
   304     1    2S2 2P2 8P1         (4)1( 5.5)  4728116.0 
   305     5    2S1 2P3 5D1         (4)2( 9.5)  4728378.3 
   306     4    2S1 2P3 6F1         (6)3(20.5)  4728766.2 
   307     1    2S2 2P2 8P1         (4)0( 1.5)  4729355.6 
   308     1    2S2 2P2 8P1         (2)2( 4.5)  4729415.5 
   309     4    2S1 2P3 6G1         (6)4(26.5)  4729496.1 
   310     4    2S1 2P3 6G1         (4)4(17.5)  4729496.1 
   311     2    2S2 2P2 7F1         (2)4( 8.5)  4729694.2 
   312     4    2S1 2P3 6H1         (6)5(32.5)  4729807.3 
   313     4    2S1 2P3 6H1         (4)5(21.5)  4729807.3 
   314     4    2S1 2P3 6F1         (4)3(13.5)  4729864.0 
   315     2    2S2 2P2 7F1         (2)3( 6.5)  4729886.5 
   316     1    2S2 2P2 8P1         (2)1( 2.5)  4730205.8 
   317     2    2S2 2P2 7F1         (2)5(10.5)  4730521.5 
   318     2    2S2 2P2 7G1         (2)2( 4.5)  4730525.7 
   319     2    2S2 2P2 7G1         (2)3( 6.5)  4730525.7 
   320     2    2S2 2P2 7G1         (2)4( 8.5)  4730525.7 
   321     2    2S2 2P2 7G1         (2)5(10.5)  4730525.7 
   322     2    2S2 2P2 7G1         (2)6(12.5)  4730525.7 
   323     2    2S2 2P2 7F1         (2)2( 4.5)  4730553.9 
   324     2    2S2 2P2 7H1         (2)3( 6.5)  4730721.6 
   325     2    2S2 2P2 7H1         (2)4( 8.5)  4730721.6 
   326     2    2S2 2P2 7H1         (2)5(10.5)  4730721.6 
   327     2    2S2 2P2 7H1         (2)6(12.5)  4730721.6 
   328     2    2S2 2P2 7H1         (2)7(14.5)  4730721.6 
   329     2    2S2 2P2 7I1         (2)4( 8.5)  4730809.1 
   330     2    2S2 2P2 7I1         (2)5(10.5)  4730809.1 
   331     2    2S2 2P2 7I1         (2)6(12.5)  4730809.1 
   332     2    2S2 2P2 7I1         (2)7(14.5)  4730809.1 
   333     2    2S2 2P2 7I1         (2)8(16.5)  4730809.1 
   334     2    2S2 2P2 7F1         (2)1( 2.5)  4731232.2 
   335     1    2S2 2P2 8D1         (4)3(13.5)  4733802.5 
   336     1    2S2 2P2 8D1         (4)2( 9.5)  4734294.1 
