SEQ='B '     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  83257501.5   NPRNTI= 4   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   235     4    2S1 2P1 5F1         (2)3( 3.5)  5468346.3 
   236     4    2S1 2P1 5D1         (2)1( 0.5)  5468467.6 
   237     4    2S1 2P1 5F1         (4)2( 1.5)  5469074.1 
   238     4    2S1 2P1 5G1         (1)*( 1.5)  5469375.1 
   239     4    2S1 2P1 5G1         (1)*( 2.5)  5469375.1 
   240     4    2S1 2P1 5G1         (1)*( 3.5)  5469375.1 
   241     4    2S1 2P1 5G1         (1)*( 4.5)  5469375.1 
   242     4    2S1 2P1 5G1         (1)*( 5.5)  5469375.1 
   243     4    2S1 2P1 5G1         (1)*( 2.5)  5469375.1 
   244     4    2S1 2P1 5G1         (1)*( 3.5)  5469375.1 
   245     4    2S1 2P1 5G1         (1)*( 4.5)  5469375.1 
   246     4    2S1 2P1 5G1         (1)*( 5.5)  5469375.1 
   247     4    2S1 2P1 5G1         (1)*( 6.5)  5469375.1 
   248     4    2S1 2P1 5F1         (2)2( 2.5)  5469609.7 
   249     4    2S1 2P1 5F1         (4)2( 0.5)  5469805.5 
   250     4    2S1 2P1 5F1         (2)4( 4.5)  5470365.8 
   251     1    2S2 6D1             (2)2( 1.5)  5470817.1 
   252     1    2S2 6D1             (2)2( 2.5)  5471035.4 
   253     4    2S1 2P1 5F1         (2)2( 1.5)  5471339.3 
   254     1    2S2 6F1             (2)3( 2.5)  5476490.4 
   255     1    2S2 6F1             (2)3( 3.5)  5476591.4 
   256     1    2S2 6G1             (1)*( 3.5)  5477275.2 
   257     1    2S2 6G1             (1)*( 4.5)  5477275.2 
   258     1    2S2 6H1             (1)*( 4.5)  5477497.6 
   259     1    2S2 6H1             (1)*( 5.5)  5477497.6 
   260    10    2P2 4S1             (2)0( 0.5)  5483918.7 
   261    10    2P2 4P1             (2)1( 0.5)  5527620.1 
   262    10    2P2 4P1             (2)1( 1.5)  5529028.6 
   263    10    2P2 4D1             (2)2( 1.5)  5567036.1 
   264     1    2S2 7S1             (2)0( 0.5)  5616650.8 
   265     1    2S2 7P1             (2)1( 0.5)  5624908.8 
   266     1    2S2 7P1             (2)1( 1.5)  5625356.6 
   267     5    2S1 2P1 5S1         (2)1( 0.5)  5625742.4 
   268     5    2S1 2P1 5S1         (2)1( 1.5)  5625949.6 
   269     1    2S2 7D1             (2)2( 1.5)  5631880.0 
   270     1    2S2 7D1             (2)2( 2.5)  5632017.2 
   271     1    2S2 7F1             (2)3( 2.5)  5635406.4 
   272     1    2S2 7F1             (2)3( 3.5)  5635470.1 
   273     1    2S2 7G1             (1)*( 3.5)  5635954.9 
   274     1    2S2 7G1             (1)*( 4.5)  5635954.9 
   275     1    2S2 7H1             (1)*( 4.5)  5636094.9 
   276     1    2S2 7H1             (1)*( 5.5)  5636094.9 
   277     1    2S2 7I1             (1)*( 5.5)  5636157.5 
   278     1    2S2 7I1             (1)*( 6.5)  5636157.5 
   279     5    2S1 2P1 5P1         (2)2( 1.5)  5647856.5 
   280     5    2S1 2P1 5P1         (2)2( 2.5)  5648655.5 
   281     5    2S1 2P1 5P1         (2)1( 0.5)  5648746.3 
   282     5    2S1 2P1 5P1         (2)1( 1.5)  5649826.2 
   283     5    2S1 2P1 5P1         (2)0( 0.5)  5652648.2 
   284     5    2S1 2P1 5D1         (2)2( 1.5)  5667036.3 
   285     5    2S1 2P1 5D1         (2)3( 2.5)  5667286.1 
   286     5    2S1 2P1 5D1         (2)3( 3.5)  5667336.8 
   287     5    2S1 2P1 5D1         (2)2( 2.5)  5667522.7 
   288     5    2S1 2P1 5D1         (2)1( 0.5)  5671113.0 
   289     5    2S1 2P1 5D1         (2)1( 1.5)  5671482.8 
   290     5    2S1 2P1 5F1         (2)3( 2.5)  5674947.1 
   291     5    2S1 2P1 5F1         (2)3( 3.5)  5675123.5 
   292     5    2S1 2P1 5F1         (2)4( 3.5)  5677616.3 
   293     5    2S1 2P1 5F1         (2)4( 4.5)  5677752.7 
   294     2    2S1 2P1 6S1         (4)1( 0.5)  5679371.0 
   295     3    2S1 2P1 6S1         (4)1( 1.5)  5686086.1 
   296     3    2S1 2P1 6S1         (2)1( 0.5)  5688981.7 
   297     2    2S1 2P1 6P1         (4)2( 0.5)  5691411.3 
   298     2    2S1 2P1 6P1         (4)2( 1.5)  5693292.8 
   299     3    2S1 2P1 6P1         (4)1( 1.5)  5698397.1 
   300     3    2S1 2P1 6P1         (4)2( 2.5)  5699722.2 
   301     3    2S1 2P1 6P1         (2)1( 0.5)  5700234.9 
   302     3    2S1 2P1 6P1         (4)1( 0.5)  5701238.5 
   303     4    2S1 2P1 6S1         (4)1( 2.5)  5701373.1 
   304     3    2S1 2P1 6P1         (2)2( 1.5)  5702213.0 
   305     2    2S1 2P1 6D1         (4)3( 1.5)  5702221.4 
   306     2    2S1 2P1 6D1         (4)1( 2.5)  5703650.6 
   307     4    2S1 2P1 6S1         (2)1( 1.5)  5705139.6 
   308     2    2S1 2P1 6F1         (4)4( 2.5)  5708798.0 
   309     2    2S1 2P1 6F1         (4)2( 3.5)  5709062.3 
   310     3    2S1 2P1 6D1         (4)3( 2.5)  5709237.6 
   311     2    2S1 2P1 6G1         (1)*( 3.5)  5709609.0 
   312     2    2S1 2P1 6G1         (1)*( 4.5)  5709609.0 
   313     3    2S1 2P1 6D1         (4)3( 3.5)  5709792.8 
   314     2    2S1 2P1 6H1         (1)*( 4.5)  5709831.4 
   315     2    2S1 2P1 6H1         (1)*( 5.5)  5709831.4 
   316     3    2S1 2P1 6D1         (4)2( 1.5)  5710443.6 
   317     3    2S1 2P1 6D1         (4)2( 0.5)  5711104.4 
   318     3    2S1 2P1 6D1         (2)2( 1.5)  5712399.2 
   319     3    2S1 2P1 6D1         (2)3( 2.5)  5713796.1 
   320     4    2S1 2P1 6P1         (4)2( 3.5)  5714145.9 
   321     4    2S1 2P1 6P1         (2)1( 1.5)  5715472.6 
   322     3    2S1 2P1 6F1         (4)3( 1.5)  5715570.3 
   323     3    2S1 2P1 6F1         (2)3( 2.5)  5715692.3 
   324     4    2S1 2P1 6P1         (4)1( 2.5)  5715747.6 
   325     3    2S1 2P1 6F1         (4)4( 4.5)  5715784.9 
   326     3    2S1 2P1 6F1         (4)4( 3.5)  5715798.8 
   327     4    2S1 2P1 6P1         (4)0( 1.5)  5716006.2 
   328     3    2S1 2P1 6G1         (1)*( 2.5)  5716745.6 
   329     3    2S1 2P1 6G1         (1)*( 3.5)  5716745.6 
   330     3    2S1 2P1 6G1         (1)*( 4.5)  5716745.6 
   331     3    2S1 2P1 6G1         (1)*( 3.5)  5716745.6 
   332     3    2S1 2P1 6G1         (1)*( 4.5)  5716745.6 
   333     3    2S1 2P1 6G1         (1)*( 5.5)  5716745.6 
   334     3    2S1 2P1 6F1         (2)2( 2.5)  5716770.5 
   335     3    2S1 2P1 6H1         (1)*( 3.5)  5716968.0 
   336     3    2S1 2P1 6H1         (1)*( 4.5)  5716968.0 
   337     3    2S1 2P1 6H1         (1)*( 5.5)  5716968.0 
   338     3    2S1 2P1 6H1         (1)*( 4.5)  5716968.0 
   339     3    2S1 2P1 6H1         (1)*( 5.5)  5716968.0 
   340     3    2S1 2P1 6H1         (1)*( 6.5)  5716968.0 
   341     3    2S1 2P1 6F1         (2)4( 3.5)  5717004.4 
   342     4    2S1 2P1 6P1         (2)2( 2.5)  5718730.8 
   343     4    2S1 2P1 6P1         (2)0( 0.5)  5720364.8 
   344     4    2S1 2P1 6D1         (4)3( 4.5)  5723845.1 
   345     4    2S1 2P1 6D1         (4)2( 3.5)  5725313.2 
   346     4    2S1 2P1 6D1         (4)2( 2.5)  5726007.2 
   347     1    2S2 8S1             (2)0( 0.5)  5726074.0 
   348     4    2S1 2P1 6D1         (4)1( 1.5)  5726479.8 
   349     4    2S1 2P1 6D1         (4)1( 0.5)  5726670.9 
   350     4    2S1 2P1 6D1         (2)2( 2.5)  5727706.3 
   351     4    2S1 2P1 6D1         (2)1( 1.5)  5729442.4 
   352     4    2S1 2P1 6D1         (2)3( 3.5)  5730911.3 
   353     4    2S1 2P1 6F1         (4)3( 4.5)  5731186.9 
   354     4    2S1 2P1 6F1         (4)3( 3.5)  5731267.0 
   355     1    2S2 8P1             (2)1( 0.5)  5731562.5 
   356     4    2S1 2P1 6F1         (4)3( 2.5)  5731612.3 
   357     4    2S1 2P1 6D1         (2)1( 0.5)  5731684.5 
   358     4    2S1 2P1 6F1         (4)4( 5.5)  5731792.6 
   359     1    2S2 8P1             (2)1( 1.5)  5731861.4 
   360     4    2S1 2P1 6F1         (2)3( 3.5)  5731874.9 
   361     4    2S1 2P1 6F1         (4)2( 1.5)  5732215.1 
   362     4    2S1 2P1 6F1         (4)2( 2.5)  5732559.8 
   363     4    2S1 2P1 6G1         (1)*( 1.5)  5732591.6 
   364     4    2S1 2P1 6G1         (1)*( 2.5)  5732591.6 
   365     4    2S1 2P1 6G1         (1)*( 3.5)  5732591.6 
   366     4    2S1 2P1 6G1         (1)*( 4.5)  5732591.6 
   367     4    2S1 2P1 6G1         (1)*( 5.5)  5732591.6 
   368     4    2S1 2P1 6G1         (1)*( 2.5)  5732591.6 
   369     4    2S1 2P1 6G1         (1)*( 3.5)  5732591.6 
   370     4    2S1 2P1 6G1         (1)*( 4.5)  5732591.6 
   371     4    2S1 2P1 6G1         (1)*( 5.5)  5732591.6 
   372     4    2S1 2P1 6G1         (1)*( 6.5)  5732591.6 
   373     4    2S1 2P1 6F1         (4)2( 0.5)  5732648.4 
   374     4    2S1 2P1 6H1         (1)*( 2.5)  5732814.0 
   375     4    2S1 2P1 6H1         (1)*( 3.5)  5732814.0 
   376     4    2S1 2P1 6H1         (1)*( 4.5)  5732814.0 
   377     4    2S1 2P1 6H1         (1)*( 5.5)  5732814.0 
   378     4    2S1 2P1 6H1         (1)*( 6.5)  5732814.0 
   379     4    2S1 2P1 6H1         (1)*( 3.5)  5732814.0 
   380     4    2S1 2P1 6H1         (1)*( 4.5)  5732814.0 
   381     4    2S1 2P1 6H1         (1)*( 5.5)  5732814.0 
   382     4    2S1 2P1 6H1         (1)*( 6.5)  5732814.0 
   383     4    2S1 2P1 6H1         (1)*( 7.5)  5732814.0 
