SEQ='B '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  82908802.3   NPRNTI= 2   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 4.0)   229492.2 
     3          2S1 2P1             (1)1( 1.0)   445183.5*
     4          2P2                 (3)1( 4.0)   589717.3*
     5          2P2                 (1)2( 2.0)   662055.2*
     6          2P2                 (1)0( 0.0)   815843.3*

   LS RESOLVED TERM INDEXING            BWNR=  88960077.3   NTRM= 278
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   268     3    2S1 2P1 7D1         (2)3( 6.5)  6053549.4*
   269     3    2S1 2P1 7D1         (2)1( 2.5)  6054929.4*
   270     3    2S1 2P1 7F1         (2)3( 6.5)  6056208.5*
   271     3    2S1 2P1 8S1         (2)1( 2.5)  6148374.0*
   272     3    2S1 2P1 8P1         (2)2( 4.5)  6153475.4*
   273     3    2S1 2P1 8P1         (2)1( 2.5)  6153661.5*
   274     3    2S1 2P1 8P1         (2)0( 0.5)  6154403.1*
   275     3    2S1 2P1 8D1         (2)2( 4.5)  6157718.1*
   276     3    2S1 2P1 8D1         (2)3( 6.5)  6157738.6*
   277     3    2S1 2P1 8D1         (2)1( 2.5)  6158648.0*
   278     3    2S1 2P1 8F1         (2)3( 6.5)  6159509.3*

   N-SHELL INDEXING                                     NREP= 42
   ----------------
   IREP    N
   -----   -
     1     1
     2     2
     3     3
     4     4
     5     5
     6     6
     7     7
     8     8
     9     9
    10    10
    11    11
    12    12
    13    13
    14    14
    15    15
    16    16
    17    18
    18    20
    19    22
    20    25
    21    29
    22    35
    23    39
    24    45
    25    49
    26    55
    27    61
    28    70
    29    81
    30   100
    31   115
    32   140
    33   162
    34   200
    35   235
    36   300
    37   353
    38   450
    39   535
    40   700
    41   811
    42   999



 --------------------------------
 PRTI= 1  TRMPRT= (1S)  SPNPRT= 1

   INDX TE=  1.96E+03  3.92E+03  9.80E+03  1.96E+04  3.92E+04  9.80E+04  1.96E+05  3.92E+05  9.80E+05  1.96E+06
   ---- ---  3.92E+06  9.80E+06  1.96E+07  3.92E+07  9.80E+07  1.96E+08  3.92E+08  9.80E+08  1.96E+09
     1       4.39E-11  3.10E-11  1.96E-11  1.38E-11  9.77E-12  6.14E-12  4.29E-12  2.97E-12  1.77E-12  1.15E-12
             7.11E-13  3.37E-13  1.74E-13  8.27E-14  2.76E-14  1.12E-14  4.35E-15  1.18E-15  4.32E-16
     4       4.92E-13  3.48E-13  2.20E-13  1.56E-13  1.10E-13  6.99E-14  4.96E-14  3.54E-14  2.28E-14  1.65E-14
             1.20E-14  7.67E-15  5.21E-15  3.31E-15  1.60E-15  8.45E-16  4.13E-16  1.45E-16  6.14E-17
     6       8.17E-15  5.77E-15  3.65E-15  2.58E-15  1.82E-15  1.15E-15  8.07E-16  5.64E-16  3.44E-16  2.30E-16
             1.47E-16  7.35E-17  3.95E-17  1.94E-17  6.69E-18  2.76E-18  1.08E-18  2.98E-19  1.09E-19
     7       3.80E-12  2.69E-12  1.70E-12  1.20E-12  8.51E-13  5.38E-13  3.81E-13  2.70E-13  1.71E-13  1.20E-13
             8.36E-14  4.96E-14  3.18E-14  1.92E-14  8.86E-15  4.55E-15  2.18E-15  7.53E-16  3.18E-16
     8       1.33E-11  9.41E-12  5.95E-12  4.20E-12  2.96E-12  1.86E-12  1.31E-12  9.08E-13  5.45E-13  3.56E-13
             2.21E-13  1.05E-13  5.45E-14  2.60E-14  8.70E-15  3.54E-15  1.37E-15  3.74E-16  1.37E-16
     9       1.47E-11  1.04E-11  6.54E-12  4.61E-12  3.23E-12  2.00E-12  1.37E-12  9.08E-13  4.91E-13  2.84E-13
             1.51E-13  5.66E-14  2.45E-14  9.94E-15  2.79E-15  1.03E-15  3.73E-16  9.58E-17  3.41E-17
    31       4.03E-16  2.85E-16  1.80E-16  1.28E-16  9.07E-17  5.78E-17  4.14E-17  2.99E-17  1.95E-17  1.39E-17
             9.46E-18  5.05E-18  2.80E-18  1.41E-18  4.92E-19  2.05E-19  8.07E-20  2.22E-20  8.15E-21
    32       6.34E-17  4.49E-17  2.84E-17  2.01E-17  1.43E-17  9.15E-18  6.58E-18  4.79E-18  3.18E-18  2.31E-18
             1.60E-18  8.73E-19  4.90E-19  2.48E-19  8.76E-20  3.66E-20  1.44E-20  3.99E-21  1.46E-21
    33       7.74E-17  5.48E-17  3.47E-17  2.46E-17  1.75E-17  1.13E-17  8.26E-18  6.17E-18  4.43E-18  3.57E-18
             2.90E-18  2.08E-18  1.49E-18  9.80E-19  4.87E-19  2.59E-19  1.27E-19  4.49E-20  1.91E-20
    34       5.25E-16  3.71E-16  2.35E-16  1.66E-16  1.17E-16  7.36E-17  5.15E-17  3.56E-17  2.08E-17  1.30E-17
             7.42E-18  3.05E-18  1.39E-18  5.82E-19  1.68E-19  6.28E-20  2.29E-20  5.91E-21  2.10E-21
    35       8.49E-17  6.01E-17  3.81E-17  2.70E-17  1.92E-17  1.23E-17  8.92E-18  6.56E-18  4.45E-18  3.30E-18
             2.34E-18  1.31E-18  7.46E-19  3.81E-19  1.36E-19  5.69E-20  2.25E-20  6.23E-21  2.29E-21
    36       7.99E-17  5.65E-17  3.57E-17  2.53E-17  1.79E-17  1.13E-17  7.99E-18  5.60E-18  3.38E-18  2.17E-18
             1.28E-18  5.40E-19  2.50E-19  1.06E-19  3.10E-20  1.16E-20  4.24E-21  1.10E-21  3.90E-22
    37       1.65E-12  1.17E-12  7.39E-13  5.22E-13  3.70E-13  2.34E-13  1.66E-13  1.17E-13  7.40E-14  5.18E-14
             3.58E-14  2.10E-14  1.33E-14  7.99E-15  3.66E-15  1.87E-15  8.96E-16  3.09E-16  1.30E-16
    38       5.95E-12  4.21E-12  2.66E-12  1.88E-12  1.33E-12  8.34E-13  5.85E-13  4.06E-13  2.44E-13  1.59E-13
             9.86E-14  4.67E-14  2.41E-14  1.15E-14  3.82E-15  1.55E-15  6.02E-16  1.64E-16  5.98E-17
    39       8.87E-12  6.27E-12  3.96E-12  2.79E-12  1.96E-12  1.21E-12  8.28E-13  5.50E-13  2.98E-13  1.72E-13
             9.14E-14  3.43E-14  1.49E-14  6.02E-15  1.69E-15  6.23E-16  2.25E-16  5.79E-17  2.06E-17
    40       6.13E-12  4.33E-12  2.72E-12  1.91E-12  1.33E-12  8.00E-13  5.26E-13  3.28E-13  1.57E-13  8.03E-14
             3.73E-14  1.19E-14  4.67E-15  1.75E-15  4.62E-16  1.66E-16  5.90E-17  1.50E-17  5.31E-18
    67       8.88E-13  6.27E-13  3.97E-13  2.80E-13  1.98E-13  1.25E-13  8.87E-14  6.26E-14  3.93E-14  2.73E-14
