SEQ='O '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  99453731.9   NPRNTI= 3   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   304     1    2S2 2P3 8I1         (5)6(32.0)  4124256.7 
   305     1    2S2 2P3 8I1         (3)6(19.0)  4124256.7 
   306     1    2S2 2P3 8J1         (5)7(37.0)  4124289.3 
   307     1    2S2 2P3 8J1         (3)7(22.0)  4124289.3 
   308     2    2S2 2P3 7S1         (3)2( 7.0)  4134522.0 
   309     2    2S2 2P3 7S1         (1)2( 2.0)  4135398.8 
   310     2    2S2 2P3 7P1         (3)2( 7.0)  4143294.9 
   311     2    2S2 2P3 7P1         (1)1( 1.0)  4143453.1 
   312     2    2S2 2P3 7P1         (3)3(10.0)  4143586.6 
   313     2    2S2 2P3 7P1         (1)3( 3.0)  4143965.1 
   314     2    2S2 2P3 7P1         (3)1( 4.0)  4145518.9 
   315     2    2S2 2P3 7P1         (1)2( 2.0)  4147896.4 
   316     2    2S2 2P3 7D1         (1)0( 0.0)  4153466.0 
   317     2    2S2 2P3 7D1         (3)3(10.0)  4153604.3 
   318     2    2S2 2P3 7D1         (3)4(13.0)  4153930.7 
   319     2    2S2 2P3 7D1         (1)4( 4.0)  4154240.5 
   320     2    2S2 2P3 7D1         (3)2( 7.0)  4154497.0 
   321     2    2S2 2P3 7D1         (1)1( 1.0)  4154891.6 
   322     2    2S2 2P3 7D1         (3)1( 4.0)  4155547.1 
   323     2    2S2 2P3 7D1         (3)0( 1.0)  4156244.6 
   324     2    2S2 2P3 7D1         (1)2( 2.0)  4156879.3 
   325     2    2S2 2P3 7D1         (1)3( 3.0)  4157619.5 
   326     2    2S2 2P3 7F1         (3)4(13.0)  4159304.8 
   327     2    2S2 2P3 7F1         (3)5(16.0)  4159363.5 
   328     2    2S2 2P3 7F1         (3)3(10.0)  4159373.4 
   329     2    2S2 2P3 7F1         (1)1( 1.0)  4159382.2 
   330     2    2S2 2P3 7F1         (1)5( 5.0)  4159403.1 
   331     2    2S2 2P3 7F1         (3)2( 7.0)  4159467.2 
   332     2    2S2 2P3 7F1         (1)2( 2.0)  4159569.5 
   333     2    2S2 2P3 7F1         (3)1( 4.0)  4159577.8 
   334     2    2S2 2P3 7G1         (3)2( 7.0)  4159595.6 
   335     2    2S2 2P3 7G1         (1)2( 2.0)  4159595.6 
   336     2    2S2 2P3 7G1         (3)3(10.0)  4159595.6 
   337     2    2S2 2P3 7G1         (1)3( 3.0)  4159595.6 
   338     2    2S2 2P3 7G1         (3)4(13.0)  4159595.6 
   339     2    2S2 2P3 7G1         (1)4( 4.0)  4159595.6 
   340     2    2S2 2P3 7G1         (3)5(16.0)  4159595.6 
   341     2    2S2 2P3 7G1         (1)5( 5.0)  4159595.6 
   342     2    2S2 2P3 7G1         (3)6(19.0)  4159595.6 
   343     2    2S2 2P3 7G1         (1)6( 6.0)  4159595.6 
   344     2    2S2 2P3 7F1         (1)3( 3.0)  4159762.3 
   345     2    2S2 2P3 7F1         (1)4( 4.0)  4159768.6 
   346     2    2S2 2P3 7H1         (3)3(10.0)  4159809.1 
   347     2    2S2 2P3 7H1         (1)3( 3.0)  4159809.1 
   348     2    2S2 2P3 7H1         (3)4(13.0)  4159809.1 
   349     2    2S2 2P3 7H1         (1)4( 4.0)  4159809.1 
   350     2    2S2 2P3 7H1         (3)5(16.0)  4159809.1 
   351     2    2S2 2P3 7H1         (1)5( 5.0)  4159809.1 
   352     2    2S2 2P3 7H1         (3)6(19.0)  4159809.1 
   353     2    2S2 2P3 7H1         (1)6( 6.0)  4159809.1 
   354     2    2S2 2P3 7H1         (3)7(22.0)  4159809.1 
   355     2    2S2 2P3 7H1         (1)7( 7.0)  4159809.1 
   356     2    2S2 2P3 7I1         (3)4(13.0)  4159904.4 
   357     2    2S2 2P3 7I1         (1)4( 4.0)  4159904.4 
   358     2    2S2 2P3 7I1         (3)5(16.0)  4159904.4 
   359     2    2S2 2P3 7I1         (1)5( 5.0)  4159904.4 
   360     2    2S2 2P3 7I1         (3)6(19.0)  4159904.4 
   361     2    2S2 2P3 7I1         (1)6( 6.0)  4159904.4 
   362     2    2S2 2P3 7I1         (3)7(22.0)  4159904.4 
   363     2    2S2 2P3 7I1         (1)7( 7.0)  4159904.4 
   364     2    2S2 2P3 7I1         (3)8(25.0)  4159904.4 
   365     2    2S2 2P3 7I1         (1)8( 8.0)  4159904.4 
   366     3    2S2 2P3 7S1         (3)1( 4.0)  4179244.0 
   367     3    2S2 2P3 7S1         (1)1( 1.0)  4180120.8 
   368     3    2S2 2P3 7P1         (3)0( 1.0)  4187901.1 
   369     3    2S2 2P3 7P1         (3)2( 7.0)  4188214.7 
   370     3    2S2 2P3 7P1         (1)1( 1.0)  4188449.5 
   371     3    2S2 2P3 7P1         (3)1( 4.0)  4189436.4 
   372     3    2S2 2P3 7P1         (1)2( 2.0)  4190013.2 
   373     3    2S2 2P3 7P1         (1)0( 0.0)  4193988.5 
   374     3    2S2 2P3 7D1         (3)3(10.0)  4198503.7 
   375     3    2S2 2P3 7D1         (3)1( 4.0)  4198853.0 
   376     3    2S2 2P3 7D1         (1)2( 2.0)  4199102.7 
   377     3    2S2 2P3 7D1         (3)2( 7.0)  4199655.0 
   378     3    2S2 2P3 7D1         (1)3( 3.0)  4200641.0 
   379     3    2S2 2P3 7D1         (1)1( 1.0)  4202638.0 
