SEQ='BE'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  76358438.3   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 0.5)   262317.2 
     3          2P1                 (2)1( 1.5)   286598.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  83257501.5   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   312     2    2P1 7P1             (3)1( 0.0)  6652287.7 
   313     2    2P1 7D1             (3)3( 2.0)  6653755.6 
   314     2    2P1 7D1             (3)1( 2.0)  6655362.4 
   315     2    2P1 7D1             (3)3( 3.0)  6655668.3 
   316     2    2P1 7D1             (3)2( 1.0)  6656357.6 
   317     2    2P1 7F1             (3)4( 3.0)  6656701.3 
   318     2    2P1 7F1             (3)2( 3.0)  6657021.7 
   319     2    2P1 7F1             (3)4( 4.0)  6657157.6 
   320     2    2P1 7F1             (3)2( 2.0)  6657165.4 
   321     2    2P1 7G1             (1)*( 3.0)  6657267.9 
   322     2    2P1 7G1             (1)*( 4.0)  6657267.9 
   323     2    2P1 7G1             (1)*( 4.0)  6657267.9 
   324     2    2P1 7G1             (1)*( 5.0)  6657267.9 
   325     2    2P1 7H1             (1)*( 4.0)  6657372.6 
   326     2    2P1 7H1             (1)*( 5.0)  6657372.6 
   327     2    2P1 7H1             (1)*( 5.0)  6657372.6 
   328     2    2P1 7H1             (1)*( 6.0)  6657372.6 
   329     2    2P1 7I1             (1)*( 5.0)  6657419.4 
   330     2    2P1 7I1             (1)*( 6.0)  6657419.4 
   331     2    2P1 7I1             (1)*( 6.0)  6657419.4 
   332     2    2P1 7I1             (1)*( 7.0)  6657419.4 
   333     3    2P1 7S1             (3)1( 2.0)  6667593.1 
   334     3    2P1 7S1             (1)1( 1.0)  6668388.8 
   335     3    2P1 7P1             (1)1( 1.0)  6673642.1 
   336     3    2P1 7P1             (3)2( 3.0)  6673934.1 
   337     3    2P1 7P1             (3)1( 2.0)  6674772.4 
   338     3    2P1 7P1             (3)0( 1.0)  6674916.2 
   339     3    2P1 7P1             (1)2( 2.0)  6676612.7 
   340     3    2P1 7D1             (3)3( 4.0)  6678136.3 
