SEQ='C '     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  89332695.2   NPRNTI= 5   NPRNTF=15
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   329     6    2S1 2P2 4P1         (3)1( 1.0)  4707130.8 
   330     6    2S1 2P2 4P1         (3)1( 0.0)  4707156.3 
   331     7    2S1 2P2 4P1         (3)1( 2.0)  4708165.3 
   332     7    2S1 2P2 4P1         (1)1( 1.0)  4710717.0 
   333     1    2S2 2P1 5S1         (3)1( 0.0)  4711985.2 
   334     1    2S2 2P1 5S1         (3)1( 1.0)  4712920.0 
   335     2    2S2 2P1 5S1         (3)1( 2.0)  4733133.5 
   336     1    2S2 2P1 5P1         (3)2( 1.0)  4734621.3 
   337     2    2S2 2P1 5S1         (1)1( 1.0)  4735288.9 
   338     1    2S2 2P1 5P1         (3)1( 1.0)  4738946.2 
   339     1    2S2 2P1 5P1         (3)2( 2.0)  4739287.2 
   340     6    2S1 2P2 4D1         (3)4( 3.0)  4741969.4 
   341     6    2S1 2P2 4D1         (3)4( 4.0)  4742680.0 
   342     1    2S2 2P1 5P1         (3)1( 0.0)  4742950.8 
   343     6    2S1 2P2 4D1         (3)3( 2.0)  4743254.0 
   344     7    2S1 2P2 4D1         (3)4( 5.0)  4743585.2 
   345     6    2S1 2P2 4D1         (3)3( 3.0)  4743758.9 
   346     7    2S1 2P2 4D1         (3)3( 4.0)  4744241.5 
   347     6    2S1 2P2 4D1         (3)2( 1.0)  4747662.8 
   348     6    2S1 2P2 4D1         (3)2( 2.0)  4748057.8 
   349     8    2S1 2P2 4S1         (3)0( 1.0)  4748419.3 
   350     7    2S1 2P2 4D1         (3)2( 3.0)  4748582.8 
   351     7    2S1 2P2 4D1         (1)3( 3.0)  4753232.7 
   352     6    2S1 2P2 4D1         (3)1( 0.0)  4754477.3 
   353     7    2S1 2P2 4D1         (1)4( 4.0)  4754569.3 
   354     6    2S1 2P2 4D1         (3)1( 1.0)  4754747.2 
   355     7    2S1 2P2 4D1         (3)1( 2.0)  4755160.0 
   356     2    2S2 2P1 5P1         (1)1( 1.0)  4756826.8 
   357     2    2S2 2P1 5P1         (3)2( 3.0)  4757188.7 
   358     7    2S1 2P2 4D1         (3)0( 1.0)  4758622.3 
   359     1    2S2 2P1 5D1         (3)3( 2.0)  4758966.9 
   360     7    2S1 2P2 4D1         (1)2( 2.0)  4759937.0 
   361     2    2S2 2P1 5P1         (3)0( 1.0)  4760043.1 
   362     2    2S2 2P1 5P1         (3)1( 2.0)  4760221.0 
   363     8    2S1 2P2 4S1         (1)0( 0.0)  4760930.1 
   364     1    2S2 2P1 5D1         (3)1( 2.0)  4762794.1 
   365     1    2S2 2P1 5D1         (3)3( 3.0)  4762931.1 
   366     2    2S2 2P1 5P1         (1)2( 2.0)  4764782.8 
   367     1    2S2 2P1 5D1         (3)2( 1.0)  4765187.5 
   368     7    2S1 2P2 4D1         (1)1( 1.0)  4765703.3 
   369     6    2S1 2P2 4F1         (3)4( 3.0)  4766732.1 
   370     6    2S1 2P2 4F1         (3)4( 4.0)  4767117.6 
   371     6    2S1 2P2 4F1         (3)4( 5.0)  4767721.6 
   372     6    2S1 2P2 4F1         (3)3( 2.0)  4767944.5 
   373     6    2S1 2P2 4F1         (3)3( 4.0)  4768456.5 
   374     7    2S1 2P2 4F1         (1)4( 4.0)  4769132.7 
   375     7    2S1 2P2 4F1         (1)3( 3.0)  4769953.6 
   376     7    2S1 2P2 4D1         (1)0( 0.0)  4770226.7 
   377     2    2S2 2P1 5P1         (1)0( 0.0)  4771091.2 
