SEQ='N '     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  94851161.9   NPRNTI= 6   NPRNTF=20
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   314     6    2S1 2P3 4D1         (4)2( 2.5)  4194357.3 
   315    20    2P4 3P1             (2)1( 0.5)  4194378.2 
   316     6    2S1 2P3 4D1         (4)2( 3.5)  4194512.6 
   317     6    2S1 2P3 4F1         (6)3( 0.5)  4203742.8 
   318     6    2S1 2P3 4F1         (6)3( 1.5)  4203758.8 
   319     6    2S1 2P3 4F1         (6)3( 2.5)  4203786.3 
   320     6    2S1 2P3 4F1         (6)3( 3.5)  4203826.4 
   321     6    2S1 2P3 4F1         (6)3( 4.5)  4203881.5 
   322     6    2S1 2P3 4F1         (6)3( 5.5)  4203954.9 
   323    19    2P4 3D1             (2)0( 0.5)  4204132.3 
   324     6    2S1 2P3 4F1         (4)3( 4.5)  4206311.7 
   325     6    2S1 2P3 4F1         (4)3( 3.5)  4206346.5 
   326     6    2S1 2P3 4F1         (4)3( 2.5)  4206377.9 
   327     6    2S1 2P3 4F1         (4)3( 1.5)  4206402.7 
   328    19    2P4 3D1             (2)3( 2.5)  4208743.9 
   329    19    2P4 3D1             (2)3( 3.5)  4210872.6 
   330    19    2P4 3D1             (2)1( 1.5)  4229932.4 
   331    19    2P4 3D1             (2)2( 2.5)  4229983.6 
   332    19    2P4 3D1             (2)1( 0.5)  4236942.0 
   333    19    2P4 3D1             (2)2( 1.5)  4237171.1 
   334     1    2S2 2P2 5S1         (4)1( 0.5)  4275133.3 
   335     2    2S2 2P2 5S1         (4)1( 1.5)  4283800.0 
   336     2    2S2 2P2 5S1         (2)1( 0.5)  4286503.3 
   337     3    2S2 2P2 5S1         (4)1( 2.5)  4295283.6 
   338     3    2S2 2P2 5S1         (2)1( 1.5)  4298974.6 
   339     1    2S2 2P2 5P1         (4)2( 0.5)  4299817.2 
   340     1    2S2 2P2 5P1         (4)2( 1.5)  4302431.1 
   341     2    2S2 2P2 5P1         (2)0( 0.5)  4307719.5 
   342     2    2S2 2P2 5P1         (4)2( 2.5)  4310021.6 
   343     2    2S2 2P2 5P1         (4)1( 1.5)  4311498.8 
   344     2    2S2 2P2 5P1         (4)1( 0.5)  4312826.2 
   345     2    2S2 2P2 5P1         (2)2( 1.5)  4315037.3 
   346     7    2S1 2P3 4P1         (4)2( 0.5)  4319715.0 
   347     7    2S1 2P3 4P1         (4)2( 1.5)  4319862.7 
   348     3    2S2 2P2 5P1         (4)2( 3.5)  4320880.8 
