SEQ='BE'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  94846886.9   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 0.5)   295528.9 
     3          2P1                 (2)1( 1.5)   334397.6 

   IC RESOLVED LEVEL INDEXING           BWNR= 103612964.0   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   258     3    2P1 6G1             (1)*( 4.0)  8219132.9 
   259     3    2P1 6G1             (1)*( 5.0)  8219132.9 
   260     3    2P1 6G1             (1)*( 3.0)  8219132.9 
   261     3    2P1 6G1             (1)*( 4.0)  8219132.9 
   262     3    2P1 6G1             (1)*( 5.0)  8219132.9 
   263     3    2P1 6G1             (1)*( 6.0)  8219132.9 
   264     3    2P1 6H1             (1)*( 3.0)  8219323.9 
   265     3    2P1 6H1             (1)*( 4.0)  8219323.9 
   266     3    2P1 6H1             (1)*( 5.0)  8219323.9 
   267     3    2P1 6H1             (1)*( 6.0)  8219323.9 
   268     3    2P1 6H1             (1)*( 4.0)  8219323.9 
   269     3    2P1 6H1             (1)*( 5.0)  8219323.9 
   270     3    2P1 6H1             (1)*( 6.0)  8219323.9 
   271     3    2P1 6H1             (1)*( 7.0)  8219323.9 
   272     3    2P1 6D1             (1)3( 3.0)  8219423.5 
   273     3    2P1 6F1             (1)4( 4.0)  8219652.7 
   274     3    2P1 6F1             (3)2( 1.0)  8219699.5 
   275     3    2P1 6D1             (1)1( 1.0)  8219878.9 
   276     3    2P1 6F1             (1)2( 2.0)  8220393.8 
   277     1    2S1 8S1             (3)0( 1.0)  8258530.4 
   278     1    2S1 8S1             (1)0( 0.0)  8260429.4 
   279     1    2S1 8P1             (3)1( 0.0)  8264138.7 
   280     1    2S1 8P1             (3)1( 1.0)  8264253.5 
   281     1    2S1 8P1             (3)1( 2.0)  8264687.3 
   282     1    2S1 8P1             (1)1( 1.0)  8265304.5 
   283     1    2S1 8D1             (3)2( 1.0)  8267894.0 
   284     1    2S1 8D1             (3)2( 2.0)  8267958.6 
   285     1    2S1 8D1             (3)2( 3.0)  8268066.8 
   286     1    2S1 8D1             (1)2( 2.0)  8269529.9 
   287     1    2S1 8F1             (3)3( 2.0)  8269813.7 
   288     1    2S1 8F1             (3)3( 3.0)  8269846.9 
   289     1    2S1 8F1             (3)3( 4.0)  8269898.3 
   290     1    2S1 8G1             (1)*( 3.0)  8270377.8 
   291     1    2S1 8G1             (1)*( 4.0)  8270377.8 
   292     1    2S1 8G1             (1)*( 4.0)  8270377.8 
   293     1    2S1 8G1             (1)*( 5.0)  8270377.8 
   294     1    2S1 8F1             (1)3( 3.0)  8270415.7 
   295     1    2S1 8H1             (1)*( 4.0)  8270458.4 
   296     1    2S1 8H1             (1)*( 5.0)  8270458.4 
   297     1    2S1 8H1             (1)*( 5.0)  8270458.4 
   298     1    2S1 8H1             (1)*( 6.0)  8270458.4 
   299     1    2S1 8I1             (1)*( 5.0)  8270494.3 
   300     1    2S1 8I1             (1)*( 6.0)  8270494.3 
   301     1    2S1 8I1             (1)*( 6.0)  8270494.3 
   302     1    2S1 8I1             (1)*( 7.0)  8270494.3 
   303     1    2S1 8J1             (1)*( 6.0)  8270512.7 
   304     1    2S1 8J1             (1)*( 7.0)  8270512.7 
   305     1    2S1 8J1             (1)*( 7.0)  8270512.7 
   306     1    2S1 8J1             (1)*( 8.0)  8270512.7 
   307     2    2P1 7S1             (3)1( 0.0)  8397753.6 
   308     2    2P1 7S1             (3)1( 1.0)  8398186.1 
   309     2    2P1 7P1             (3)2( 1.0)  8404286.0 
