
Ne+10     H + 0 (2) / receiver, donor (donor state n=2)       /        /
    9               / number of energies
    6               / nmin
   15               / nmax
               0.01     0.02     0.05     0.10     0.20     0.50     1.00     2.00     4.20 / energies
              29.12    29.19    29.12    28.56    27.03    22.75    18.92    15.53    10.95 / alphas
           7.66E-14 7.72E-14 7.78E-14 7.91E-14 7.99E-14 8.16E-14 8.20E-14 8.22E-14 8.04E-14 / tot. xsect.(cm2)
  n  l  m                                                                                   / partial xsects.
  7  3     5.96E-18 1.28E-17 2.04E-17 3.41E-17 3.27E-17 4.34E-17 3.38E-17 4.91E-17 4.55E-17         
  7  4     8.52E-18 1.79E-17 2.21E-17 3.07E-17 4.84E-17 5.62E-17 4.81E-17 5.02E-17 4.26E-17         
  7  5     1.11E-17 2.38E-17 3.15E-17 3.75E-17 5.79E-17 6.05E-17 4.55E-17 5.42E-17 5.38E-17         
  7  6     1.11E-17 1.70E-17 3.24E-17 4.26E-17 4.91E-17 4.77E-17 4.42E-17 5.59E-17 5.59E-17         
  8        6.66E-16 7.71E-16 9.26E-16 9.98E-16 1.09E-15 1.03E-15 9.42E-16 7.65E-16 5.73E-16         
  8  0     8.52E-18 1.62E-17 1.70E-17 1.36E-17 1.77E-17 8.52E-18 9.76E-18 6.77E-18 2.48E-18         
  8  1     4.26E-17 4.68E-17 5.96E-17 6.47E-17 5.25E-17 4.43E-17 4.81E-17 2.48E-17 8.28E-18         
  8  2     6.30E-17 6.22E-17 9.20E-17 9.54E-17 9.13E-17 8.09E-17 8.33E-17 5.42E-17 3.10E-17         
  8  3     7.49E-17 7.58E-17 1.20E-16 1.13E-16 1.37E-16 1.31E-16 1.11E-16 9.03E-17 5.59E-17         
  8  4     9.79E-17 1.35E-16 1.42E-16 1.61E-16 1.74E-16 1.86E-16 1.68E-16 1.24E-16 9.48E-17         
  8  5     1.30E-16 1.29E-16 1.65E-16 1.78E-16 2.13E-16 1.96E-16 1.72E-16 1.45E-16 9.98E-17         
  8  6     1.47E-16 1.69E-16 1.78E-16 2.09E-16 2.17E-16 2.20E-16 1.59E-16 1.63E-16 1.44E-16         
  8  7     1.02E-16 1.37E-16 1.52E-16 1.63E-16 1.90E-16 1.68E-16 1.91E-16 1.57E-16 1.37E-16         
  9        3.76E-15 3.95E-15 3.88E-15 3.59E-15 3.04E-15 3.02E-15 2.39E-15 1.71E-15 1.05E-15         
  9  0     3.83E-17 4.26E-17 2.73E-17 2.55E-17 9.54E-18 1.96E-17 7.81E-18 6.21E-18 2.48E-18         
  9  1     1.41E-16 1.45E-16 1.10E-16 9.71E-17 5.72E-17 5.88E-17 3.64E-17 2.71E-17 1.53E-17         
  9  2     2.71E-16 2.44E-16 2.40E-16 1.92E-16 1.36E-16 1.46E-16 9.04E-17 4.97E-17 3.06E-17         
  9  3     3.71E-16 3.64E-16 3.83E-16 3.29E-16 2.77E-16 2.59E-16 1.66E-16 1.00E-16 4.47E-17         
  9  4     4.68E-16 4.93E-16 5.02E-16 4.62E-16 3.96E-16 4.27E-16 3.23E-16 1.62E-16 8.11E-17         
  9  5     5.69E-16 6.52E-16 6.37E-16 5.81E-16 5.35E-16 4.73E-16 4.28E-16 2.67E-16 1.37E-16         
  9  6     6.76E-16 7.62E-16 7.81E-16 7.03E-16 6.00E-16 5.94E-16 4.41E-16 3.34E-16 2.07E-16         
  9  7     7.03E-16 6.95E-16 6.53E-16 6.26E-16 5.25E-16 5.59E-16 4.60E-16 3.58E-16 2.37E-16         
  9  8     5.21E-16 5.55E-16 5.44E-16 5.71E-16 5.01E-16 4.79E-16 4.33E-16 4.09E-16 2.95E-16         
 10        1.30E-14 1.19E-14 9.53E-15 7.99E-15 6.24E-15 5.98E-15 4.37E-15 2.69E-15 1.67E-15         
 10  0     2.81E-17 2.98E-17 1.45E-17 1.45E-17 1.64E-17 1.02E-17 9.11E-18 7.90E-18 3.31E-18         
 10  1     1.74E-16 1.45E-16 8.26E-17 7.58E-17 4.63E-17 4.60E-17 3.06E-17 1.86E-17 8.28E-18         
 10  2     4.22E-16 3.59E-16 2.30E-16 1.74E-16 1.36E-16 1.31E-16 7.22E-17 4.51E-17 2.32E-17         
 10  3     8.35E-16 7.37E-16 4.74E-16 3.76E-16 2.28E-16 2.26E-16 1.44E-16 9.82E-17 6.33E-17         
 10  4     1.25E-15 1.12E-15 8.78E-16 6.50E-16 4.62E-16 4.47E-16 2.93E-16 1.39E-16 8.16E-17         
 10  5     1.75E-15 1.62E-15 1.34E-15 1.06E-15 7.98E-16 6.60E-16 4.28E-16 2.16E-16 1.29E-16         
 10  6     2.09E-15 2.06E-15 1.67E-15 1.35E-15 9.91E-16 9.78E-16 6.65E-16 3.01E-16 1.67E-16         
 10  7     2.36E-15 2.19E-15 1.84E-15 1.47E-15 1.20E-15 1.16E-15 8.04E-16 4.60E-16 2.55E-16         
 10  8     2.26E-15 2.08E-15 1.64E-15 1.48E-15 1.22E-15 1.17E-15 9.60E-16 6.64E-16 4.13E-16         
 10  9     1.80E-15 1.60E-15 1.36E-15 1.34E-15 1.14E-15 1.15E-15 9.69E-16 7.39E-16 5.31E-16         
 11        2.51E-14 2.07E-14 1.56E-14 1.18E-14 9.53E-15 9.03E-15 6.30E-15 3.54E-15 2.13E-15         
 11  0     5.11E-18 8.52E-18 2.13E-17 1.11E-17 8.18E-18 1.11E-17 7.16E-18 4.51E-18 3.31E-18         
 11  1     5.79E-17 7.07E-17 7.32E-17 6.05E-17 4.77E-17 5.62E-17 3.25E-17 2.20E-17 1.28E-17         
 11  2     1.99E-16 2.29E-16 1.74E-16 1.55E-16 1.29E-16 1.20E-16 7.29E-17 5.02E-17 2.61E-17         
 11  3     5.25E-16 4.85E-16 3.87E-16 2.94E-16 2.54E-16 2.17E-16 1.52E-16 7.62E-17 5.01E-17         
 11  4     1.06E-15 8.87E-16 6.70E-16 5.24E-16 4.11E-16 4.08E-16 2.62E-16 1.31E-16 8.45E-17         
 11  5     2.05E-15 1.62E-15 1.15E-15 7.82E-16 6.68E-16 6.17E-16 3.78E-16 1.94E-16 1.12E-16         
 11  6     3.20E-15 2.64E-15 1.79E-15 1.17E-15 8.77E-16 8.00E-16 5.17E-16 2.36E-16 1.40E-16         
 11  7     4.35E-15 3.63E-15 2.46E-15 1.72E-15 1.21E-15 1.13E-15 6.75E-16 3.13E-16 2.05E-16         
 11  8     4.89E-15 3.93E-15 2.97E-15 2.25E-15 1.63E-15 1.59E-15 1.03E-15 4.99E-16 2.77E-16         
 11  9     4.73E-15 3.81E-15 3.12E-15 2.45E-15 2.08E-15 1.97E-15 1.49E-15 8.41E-16 4.86E-16         
 11 10     4.07E-15 3.38E-15 2.79E-15 2.37E-15 2.22E-15 2.11E-15 1.68E-15 1.17E-15 7.38E-16         
 12        2.35E-14 2.14E-14 1.74E-14 1.39E-14 1.12E-14 1.04E-14 7.48E-15 4.03E-15 2.45E-15         
 12  0     5.11E-18 5.11E-18 2.55E-18 7.66E-18 1.02E-17 7.66E-18 9.76E-18 5.08E-18 4.55E-18         
 12  1     2.38E-17 1.45E-17 4.60E-17 4.00E-17 5.72E-17 5.11E-17 3.25E-17 2.03E-17 1.37E-17         
 12  2     6.73E-17 1.12E-16 1.39E-16 1.26E-16 1.16E-16 9.20E-17 8.00E-17 4.51E-17 3.10E-17         
 12  3     2.11E-16 2.93E-16 3.12E-16 2.50E-16 2.27E-16 1.74E-16 1.55E-16 7.39E-17 4.10E-17         
 12  4     4.49E-16 5.66E-16 5.73E-16 4.56E-16 3.67E-16 3.62E-16 2.57E-16 1.26E-16 6.83E-17         
 12  5     8.98E-16 1.02E-15 9.20E-16 6.91E-16 5.60E-16 4.89E-16 3.44E-16 1.60E-16 1.08E-16         
 12  6     1.36E-15 1.44E-15 1.27E-15 9.02E-16 6.99E-16 6.31E-16 4.30E-16 2.21E-16 1.25E-16         
 12  7     2.07E-15 2.01E-15 1.49E-15 1.10E-15 8.29E-16 7.84E-16 5.41E-16 2.90E-16 1.64E-16         
 12  8     3.20E-15 2.54E-15 1.85E-15 1.41E-15 1.14E-15 1.02E-15 7.18E-16 3.62E-16 2.38E-16         
 12  9     4.17E-15 3.50E-15 2.64E-15 2.02E-15 1.55E-15 1.41E-15 9.64E-16 5.05E-16 3.27E-16         
 12 10     5.31E-15 4.74E-15 3.73E-15 2.99E-15 2.39E-15 2.19E-15 1.55E-15 8.07E-16 4.74E-16         
