SEQ='C '     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 523528949.8   NPRNTI= 5   NPRNTF=15
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   345     7    2S1 2P2 4F1         (3)3( 4.0) 33666330.2 
   346     7    2S1 2P2 4F1         (3)2( 3.0) 33669812.3 
   347     8    2S1 2P2 4S1         (1)2( 2.0) 33692874.7 
   348     8    2S1 2P2 4P1         (3)1( 2.0) 33824425.9 
   349     8    2S1 2P2 4P1         (1)3( 3.0) 33832609.3 
   350     8    2S1 2P2 4P1         (3)2( 3.0) 33907101.0 
   351     8    2S1 2P2 4P1         (3)3( 4.0) 33908015.3 
   352     8    2S1 2P2 4P1         (1)1( 1.0) 33930953.1 
   353     8    2S1 2P2 4P1         (3)1( 2.0) 33965799.1 
   354     8    2S1 2P2 4D1         (3)2( 3.0) 34061857.7 
   355     8    2S1 2P2 4D1         (3)2( 2.0) 34062704.3 
   356     8    2S1 2P2 4D1         (3)3( 4.0) 34064486.0 
   357     8    2S1 2P2 4D1         (3)0( 1.0) 34070279.5 
   358     8    2S1 2P2 4D1         (3)4( 5.0) 34071283.2 
   359     8    2S1 2P2 4D1         (1)4( 4.0) 34083138.9 
   360     9    2S1 2P2 4S1         (3)0( 1.0) 34083466.8 
   361     8    2S1 2P2 4D1         (1)0( 0.0) 34110532.4 
   362    10    2S1 2P2 4S1         (3)1( 2.0) 34111730.6 
   363    11    2P3 4S1             (3)2( 2.0) 34112879.8 
   364     8    2S1 2P2 4D1         (3)2( 3.0) 34125287.7 
   365     8    2S1 2P2 4D1         (1)1( 1.0) 34126006.3 
   366    11    2P3 4S1             (3)0( 1.0) 34129715.3 
   367     8    2S1 2P2 4D1         (1)2( 2.0) 34135831.8 
   368     8    2S1 2P2 4F1         (3)3( 3.0) 34168515.6 
   369     8    2S1 2P2 4F1         (1)4( 4.0) 34169121.6 
   370     8    2S1 2P2 4F1         (3)2( 2.0) 34171970.9 
   371     8    2S1 2P2 4F1         (3)4( 5.0) 34175187.6 
   372     8    2S1 2P2 4F1         (3)1( 1.0) 34176863.8 
   373     8    2S1 2P2 4F1         (3)1( 0.0) 34180428.5 
   374     8    2S1 2P2 4F1         (1)5( 5.0) 34182831.4 
   375     8    2S1 2P2 4F1         (3)3( 4.0) 34186418.8 
   376     8    2S1 2P2 4F1         (3)5( 6.0) 34187044.6 
