SEQ='N '     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 564544527.3   NPRNTI= 6   NPRNTF=20
   ---------------------
   INDP         CODE                 S L   WI        WNP
   291     4    2S2 2P2 4P1         (2)2( 2.5) 31077614.7 
   292     6    2S2 2P2 4S1         (2)0( 0.5) 31113576.0 
   293     5    2S1 2P3 4P1         (6)1( 1.5) 31115842.4 
   294     5    2S1 2P3 4P1         (6)1( 2.5) 31122229.6 
   295     4    2S2 2P2 4P1         (4)1( 2.5) 31148196.9 
   296     4    2S2 2P2 4P1         (2)0( 0.5) 31150493.0 
   297     4    2S2 2P2 4P1         (4)2( 3.5) 31150848.6 
   298     5    2S1 2P3 4P1         (6)1( 3.5) 31211321.2 
   299     4    2S2 2P2 4P1         (2)1( 1.5) 31217823.8 
   300     5    2S1 2P3 4P1         (4)1( 1.5) 31235812.9 
   301     5    2S1 2P3 4P1         (4)1( 2.5) 31253892.7 
   302     5    2S1 2P3 4P1         (4)1( 0.5) 31265499.1 
   303     6    2S2 2P2 4P1         (2)1( 0.5) 31293739.1 
   304     4    2S2 2P2 4D1         (2)2( 1.5) 31337846.9 
   305     4    2S2 2P2 4D1         (4)2( 2.5) 31340164.6 
   306     4    2S2 2P2 4D1         (2)1( 0.5) 31340960.1 
   307     4    2S2 2P2 4D1         (2)3( 3.5) 31342930.1 
   308     4    2S2 2P2 4D1         (4)3( 4.5) 31349174.1 
   309     4    2S2 2P2 4D1         (2)3( 3.5) 31349406.9 
   310     7    2S1 2P3 4S1         (4)2( 1.5) 31354490.5 
   311     4    2S2 2P2 4D1         (2)0( 0.5) 31375577.4 
   312     5    2S1 2P3 4D1         (6)2( 2.5) 31378856.0 
   313     5    2S1 2P3 4D1         (6)2( 0.5) 31379320.3 
   314     5    2S1 2P3 4D1         (6)2( 1.5) 31379954.0 
   315     6    2S2 2P2 4P1         (2)1( 1.5) 31382329.3 
   316     5    2S1 2P3 4D1         (6)2( 3.5) 31384363.5 
   317     4    2S2 2P2 4D1         (2)1( 1.5) 31399302.5 
   318     5    2S1 2P3 4D1         (6)2( 4.5) 31404503.9 
   319     4    2S2 2P2 4D1         (2)2( 2.5) 31406405.0 
   320     5    2S1 2P3 4D1         (4)2( 2.5) 31450940.6 
   321     5    2S1 2P3 4D1         (4)2( 1.5) 31462189.6 
   322     4    2S2 2P2 4F1         (4)3( 2.5) 31465575.0 
   323     4    2S2 2P2 4F1         (4)3( 3.5) 31466822.8 
   324     4    2S2 2P2 4F1         (4)2( 1.5) 31468392.6 
   325     4    2S2 2P2 4F1         (2)4( 4.5) 31469672.4 
   326     5    2S1 2P3 4D1         (4)2( 3.5) 31469676.1 
   327     4    2S2 2P2 4F1         (4)2( 0.5) 31472329.3 
   328     4    2S2 2P2 4F1         (4)3( 4.5) 31477468.7 
   329     4    2S2 2P2 4F1         (4)4( 5.5) 31480850.3 
   330     4    2S2 2P2 4F1         (2)3( 3.5) 31483228.5 
   331     5    2S1 2P3 4D1         (4)2( 0.5) 31483820.0 
   332     4    2S2 2P2 4F1         (2)2( 1.5) 31485808.5 
   333     4    2S2 2P2 4F1         (4)2( 2.5) 31486242.0 
   334     7    2S1 2P3 4P1         (4)2( 0.5) 31506567.2 
   335     7    2S1 2P3 4P1         (4)3( 1.5) 31510001.1 
   336     5    2S1 2P3 4F1         (6)3( 3.5) 31519119.8 
   337     5    2S1 2P3 4F1         (6)3( 2.5) 31520157.4 
   338     5    2S1 2P3 4F1         (6)3( 1.5) 31523439.0 
   339     5    2S1 2P3 4F1         (6)3( 4.5) 31524642.5 
   340     5    2S1 2P3 4F1         (6)3( 0.5) 31526199.9 
   341     5    2S1 2P3 4F1         (6)3( 5.5) 31536945.8 
   342     5    2S1 2P3 4F1         (4)3( 3.5) 31539059.1 
   343     5    2S1 2P3 4F1         (4)3( 4.5) 31540852.8 
   344     5    2S1 2P3 4F1         (4)3( 2.5) 31543566.8 
   345     5    2S1 2P3 4F1         (4)3( 1.5) 31550308.3 
   346     6    2S2 2P2 4D1         (2)2( 1.5) 31567021.2 
   347     6    2S2 2P2 4D1         (2)2( 2.5) 31584600.6 
   348     7    2S1 2P3 4P1         (2)3( 2.5) 31613766.3 
   349     7    2S1 2P3 4P1         (4)1( 1.5) 31629123.8 
   350     7    2S1 2P3 4P1         (4)1( 0.5) 31634198.4 
   351     6    2S2 2P2 4F1         (2)3( 2.5) 31687069.6 
   352     6    2S2 2P2 4F1         (2)3( 3.5) 31699999.4 
   353     8    2S1 2P3 4S1         (4)2( 2.5) 31717236.0 
   354     8    2S1 2P3 4S1         (2)2( 1.5) 31749517.9 
   355     7    2S1 2P3 4D1         (4)3( 1.5) 31774067.3 
   356     7    2S1 2P3 4D1         (4)4( 2.5) 31778838.9 
   357     7    2S1 2P3 4D1         (4)2( 0.5) 31792752.9 
   358     7    2S1 2P3 4D1         (4)3( 3.5) 31816599.6 
   359     7    2S1 2P3 4D1         (4)1( 2.5) 31828827.3 
   360     7    2S1 2P3 4D1         (4)0( 1.5) 31839776.9 
   361     8    2S1 2P3 4P1         (4)2( 1.5) 31880198.4 
   362     7    2S1 2P3 4F1         (4)4( 2.5) 31901401.6 
   363     8    2S1 2P3 4P1         (4)3( 2.5) 31905109.2 
   364     7    2S1 2P3 4F1         (4)5( 3.5) 31912784.9 
   365     7    2S1 2P3 4F1         (4)2( 3.5) 31919134.7 
   366     7    2S1 2P3 4F1         (2)1( 1.5) 31919823.0 
   367     7    2S1 2P3 4F1         (4)4( 4.5) 31929305.2 
   368     7    2S1 2P3 4F1         (4)1( 2.5) 31935282.8 
   369     9    2S1 2P3 4S1         (2)2( 2.5) 31959309.4 
   370     8    2S1 2P3 4P1         (4)3( 3.5) 31981456.2 
   371     8    2S1 2P3 4P1         (4)2( 2.5) 31984270.9 
   372     8    2S1 2P3 4P1         (2)1( 0.5) 32004455.0 
