SEQ='HE'     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 198122701.0   NPRNTI= 1   NPRNTF= 1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S1                 (2)0( 0.5)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 390207216.3   NLVL= 127
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    33       7.72E-13  5.45E-13  3.45E-13  2.43E-13  1.71E-13  1.07E-13  7.47E-14  5.12E-14  2.99E-14  1.89E-14
             1.13E-14  5.04E-15  2.50E-15  1.14E-15  3.64E-16  1.44E-16  5.49E-17  1.47E-17  5.32E-18
    34       7.15E-13  5.05E-13  3.19E-13  2.26E-13  1.59E-13  1.00E-13  7.05E-14  4.93E-14  3.02E-14  2.05E-14
             1.35E-14  7.40E-15  4.42E-15  2.49E-15  1.06E-15  5.13E-16  2.34E-16  7.69E-17  3.15E-17
    35       2.31E-12  1.63E-12  1.03E-12  7.28E-13  5.13E-13  3.21E-13  2.24E-13  1.53E-13  8.95E-14  5.67E-14
             3.37E-14  1.51E-14  7.48E-15  3.42E-15  1.09E-15  4.33E-16  1.65E-16  4.41E-17  1.60E-17
    36       3.76E-12  2.65E-12  1.68E-12  1.18E-12  8.34E-13  5.23E-13  3.64E-13  2.50E-13  1.47E-13  9.31E-14
             5.56E-14  2.50E-14  1.24E-14  5.66E-15  1.81E-15  7.18E-16  2.73E-16  7.32E-17  2.65E-17
    37       2.22E-12  1.56E-12  9.87E-13  6.95E-13  4.88E-13  3.01E-13  2.05E-13  1.36E-13  7.25E-14  4.14E-14
             2.16E-14  7.94E-15  3.38E-15  1.35E-15  3.74E-16  1.37E-16  4.95E-17  1.27E-17  4.50E-18
    38       2.24E-12  1.58E-12  1.00E-12  7.07E-13  4.98E-13  3.12E-13  2.18E-13  1.50E-13  8.77E-14  5.57E-14
             3.33E-14  1.50E-14  7.42E-15  3.39E-15  1.09E-15  4.30E-16  1.64E-16  4.39E-17  1.59E-17
    39       3.69E-12  2.61E-12  1.65E-12  1.16E-12  8.13E-13  5.02E-13  3.42E-13  2.26E-13  1.21E-13  6.90E-14
             3.60E-14  1.32E-14  5.63E-15  2.25E-15  6.24E-16  2.29E-16  8.25E-17  2.11E-17  7.51E-18
    40       5.12E-12  3.62E-12  2.28E-12  1.61E-12  1.13E-12  6.97E-13  4.75E-13  3.14E-13  1.68E-13  9.61E-14
             5.02E-14  1.84E-14  7.86E-15  3.14E-15  8.71E-16  3.19E-16  1.15E-16  2.95E-17  1.05E-17
    41       2.80E-12  1.98E-12  1.24E-12  8.72E-13  6.06E-13  3.65E-13  2.40E-13  1.50E-13  7.11E-14  3.63E-14
             1.68E-14  5.34E-15  2.08E-15  7.80E-16  2.05E-16  7.35E-17  2.62E-17  6.65E-18  2.35E-18
    42       3.92E-12  2.77E-12  1.74E-12  1.22E-12  8.48E-13  5.12E-13  3.36E-13  2.10E-13  9.96E-14  5.08E-14
             2.35E-14  7.47E-15  2.92E-15  1.09E-15  2.87E-16  1.03E-16  3.66E-17  9.31E-18  3.29E-18
    43       3.66E-12  2.58E-12  1.63E-12  1.15E-12  8.06E-13  4.98E-13  3.40E-13  2.25E-13  1.20E-13  6.86E-14
             3.58E-14  1.32E-14  5.61E-15  2.24E-15  6.22E-16  2.28E-16  8.22E-17  2.11E-17  7.48E-18
    44       5.02E-12  3.54E-12  2.23E-12  1.56E-12  1.09E-12  6.55E-13  4.31E-13  2.68E-13  1.28E-13  6.51E-14
             3.02E-14  9.58E-15  3.74E-15  1.40E-15  3.68E-16  1.32E-16  4.70E-17  1.19E-17  4.23E-18
    45       3.90E-12  2.75E-12  1.73E-12  1.21E-12  8.45E-13  5.09E-13  3.35E-13  2.09E-13  9.92E-14  5.07E-14
             2.35E-14  7.45E-15  2.91E-15  1.09E-15  2.86E-16  1.03E-16  3.65E-17  9.28E-18  3.29E-18
