SEQ='F '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 627005032.4   NPRNTI= 3   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P4             (3)1( 4.0)        0.0 
     2          2S2 2P4             (1)2( 2.0)   174974.5 
     3          2S2 2P4             (1)0( 0.0)   369237.5 
     4          2S1 2P5             (3)1( 4.0)  1422111.5*
     5          2S1 2P5             (1)1( 1.0)  1935406.6*
     6          2P6                 (1)0( 0.0)  3334907.6*

   LS RESOLVED TERM INDEXING            BWNR= 662593533.5   NTRM= 342
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   299     1    2S2 2P4 8J1         (4)8(33.5) 33606114.9 
   300     1    2S2 2P4 8J1         (2)8(16.5) 33606114.9 
   301     2    2S2 2P4 8S1         (2)2( 4.5) 33714437.1 
   302     2    2S2 2P4 8P1         (2)3( 6.5) 33736786.7 
   303     2    2S2 2P4 8P1         (2)1( 2.5) 33738802.2 
   304     2    2S2 2P4 8P1         (2)2( 4.5) 33739036.7 
   305     2    2S2 2P4 8D1         (2)4( 8.5) 33762055.8 
   306     2    2S2 2P4 8D1         (2)0( 0.5) 33764177.6 
   307     2    2S2 2P4 8D1         (2)3( 6.5) 33764766.9 
   308     2    2S2 2P4 8D1         (2)1( 2.5) 33764780.0 
   309     2    2S2 2P4 8D1         (2)2( 4.5) 33765244.6 
   310     2    2S2 2P4 8F1         (2)1( 2.5) 33776852.6 
   311     2    2S2 2P4 8F1         (2)5(10.5) 33777407.9 
   312     2    2S2 2P4 8F1         (2)2( 4.5) 33778195.7 
   313     2    2S2 2P4 8F1         (2)3( 6.5) 33779399.5 
   314     2    2S2 2P4 8F1         (2)4( 8.5) 33779571.7 
   315     2    2S2 2P4 8G1         (2)2( 4.5) 33779997.3 
   316     2    2S2 2P4 8G1         (2)3( 6.5) 33779997.3 
   317     2    2S2 2P4 8G1         (2)4( 8.5) 33779997.3 
   318     2    2S2 2P4 8G1         (2)5(10.5) 33779997.3 
   319     2    2S2 2P4 8G1         (2)6(12.5) 33779997.3 
   320     2    2S2 2P4 8H1         (2)3( 6.5) 33780649.3 
   321     2    2S2 2P4 8H1         (2)4( 8.5) 33780649.3 
   322     2    2S2 2P4 8H1         (2)5(10.5) 33780649.3 
   323     2    2S2 2P4 8H1         (2)6(12.5) 33780649.3 
   324     2    2S2 2P4 8H1         (2)7(14.5) 33780649.3 
   325     2    2S2 2P4 8I1         (2)4( 8.5) 33780940.6 
   326     2    2S2 2P4 8I1         (2)5(10.5) 33780940.6 
   327     2    2S2 2P4 8I1         (2)6(12.5) 33780940.6 
   328     2    2S2 2P4 8I1         (2)7(14.5) 33780940.6 
   329     2    2S2 2P4 8I1         (2)8(16.5) 33780940.6 
   330     2    2S2 2P4 8J1         (2)5(10.5) 33781089.4 
   331     2    2S2 2P4 8J1         (2)6(12.5) 33781089.4 
   332     2    2S2 2P4 8J1         (2)7(14.5) 33781089.4 
   333     2    2S2 2P4 8J1         (2)8(16.5) 33781089.4 
   334     2    2S2 2P4 8J1         (2)9(18.5) 33781089.4 
   335     3    2S2 2P4 8S1         (2)0( 0.5) 33908759.7 
   336     3    2S2 2P4 8P1         (2)1( 2.5) 33932221.6 
   337     3    2S2 2P4 8D1         (2)2( 4.5) 33958152.9 
   338     3    2S2 2P4 8F1         (2)3( 6.5) 33972717.5 
   339     3    2S2 2P4 8G1         (2)4( 8.5) 33974260.3 
   340     3    2S2 2P4 8H1         (2)5(10.5) 33974912.3 
   341     3    2S2 2P4 8I1         (2)6(12.5) 33975203.6 
   342     3    2S2 2P4 8J1         (2)7(14.5) 33975352.4 

   N-SHELL INDEXING                                     NREP= 42
   ----------------
   IREP    N
   -----   -
     1     1
     2     2
     3     3
     4     4
     5     5
     6     6
     7     7
     8     8
     9     9
    10    10
    11    11
    12    12
    13    13
    14    14
    15    15
    16    16
    17    18
    18    20
    19    22
    20    25
    21    29
    22    35
    23    39
    24    45
    25    49
    26    55
    27    61
    28    70
    29    81
    30   100
    31   115
    32   140
    33   162
    34   200
    35   235
    36   300
    37   353
    38   450
    39   535
    40   700
    41   811
    42   999



 --------------------------------
 PRTI= 1  TRMPRT= (3P)  SPNPRT= 3

