SEQ='NE'     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 662593533.5   NPRNTI= 1   NPRNTF= 1
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 2.5)        0.0 

   LS RESOLVED TERM INDEXING            BWNR= 696858141.5   NTRM= 175
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     4       2.73E-12  1.93E-12  1.22E-12  8.60E-13  6.07E-13  3.82E-13  2.68E-13  1.87E-13  1.13E-13  7.41E-14
             4.63E-14  2.23E-14  1.16E-14  5.59E-15  1.89E-15  7.69E-16  2.99E-16  8.16E-17  2.98E-17
     5       1.34E-11  9.50E-12  6.00E-12  4.24E-12  2.99E-12  1.89E-12  1.32E-12  9.21E-13  5.56E-13  3.66E-13
             2.29E-13  1.11E-13  5.79E-14  2.78E-14  9.38E-15  3.83E-15  1.49E-15  4.06E-16  1.48E-16
     6       4.44E-12  3.14E-12  1.98E-12  1.40E-12  9.90E-13  6.23E-13  4.37E-13  3.05E-13  1.84E-13  1.21E-13
             7.60E-14  3.67E-14  1.92E-14  9.25E-15  3.12E-15  1.27E-15  4.96E-16  1.35E-16  4.93E-17
     7       7.98E-12  5.64E-12  3.57E-12  2.52E-12  1.78E-12  1.12E-12  7.86E-13  5.48E-13  3.31E-13  2.18E-13
             1.37E-13  6.60E-14  3.46E-14  1.66E-14  5.61E-15  2.29E-15  8.92E-16  2.43E-16  8.88E-17
     8       2.66E-12  1.88E-12  1.19E-12  8.40E-13  5.93E-13  3.74E-13  2.62E-13  1.83E-13  1.10E-13  7.28E-14
             4.56E-14  2.20E-14  1.15E-14  5.55E-15  1.87E-15  7.64E-16  2.97E-16  8.11E-17  2.96E-17
     9       8.23E-13  5.82E-13  3.68E-13  2.60E-13  1.83E-13  1.16E-13  8.13E-14  5.68E-14  3.46E-14  2.29E-14
             1.45E-14  7.07E-15  3.72E-15  1.80E-15  6.10E-16  2.50E-16  9.73E-17  2.66E-17  9.69E-18
    10       5.50E-12  3.89E-12  2.45E-12  1.73E-12  1.21E-12  7.51E-13  5.13E-13  3.41E-13  1.85E-13  1.07E-13
             5.71E-14  2.16E-14  9.42E-15  3.83E-15  1.08E-15  3.99E-16  1.45E-16  3.72E-17  1.32E-17
    11       1.27E-11  9.00E-12  5.68E-12  4.00E-12  2.81E-12  1.74E-12  1.19E-12  7.90E-13  4.28E-13  2.49E-13
             1.33E-13  5.02E-14  2.19E-14  8.90E-15  2.51E-15  9.29E-16  3.37E-16  8.65E-17  3.08E-17
    12       4.20E-12  2.97E-12  1.87E-12  1.32E-12  9.26E-13  5.73E-13  3.92E-13  2.61E-13  1.41E-13  8.22E-14
             4.38E-14  1.66E-14  7.25E-15  2.95E-15  8.33E-16  3.08E-16  1.12E-16  2.87E-17  1.02E-17
    13       8.97E-12  6.34E-12  4.00E-12  2.82E-12  1.98E-12  1.23E-12  8.38E-13  5.57E-13  3.02E-13  1.76E-13
             9.37E-14  3.56E-14  1.55E-14  6.31E-15  1.78E-15  6.59E-16  2.39E-16  6.14E-17  2.18E-17
    14       2.99E-12  2.11E-12  1.33E-12  9.39E-13  6.59E-13  4.08E-13  2.79E-13  1.86E-13  1.01E-13  5.86E-14
             3.12E-14  1.19E-14  5.17E-15  2.10E-15  5.94E-16  2.20E-16  7.96E-17  2.05E-17  7.28E-18
    15       1.71E-12  1.21E-12  7.63E-13  5.38E-13  3.77E-13  2.34E-13  1.60E-13  1.07E-13  5.81E-14  3.39E-14
             1.81E-14  6.91E-15  3.02E-15  1.23E-15  3.48E-16  1.29E-16  4.67E-17  1.20E-17  4.27E-18
    16       2.96E-12  2.10E-12  1.33E-12  9.37E-13  6.63E-13  4.20E-13  2.97E-13  2.10E-13  1.33E-13  9.30E-14
             6.41E-14  3.76E-14  2.39E-14  1.43E-14  6.57E-15  3.35E-15  1.60E-15  5.49E-16  2.31E-16
