SEQ='BE'     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 436244610.9   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 0.5)   704485.6 
     3          2P1                 (2)1( 1.5)  1647115.9 

   IC RESOLVED LEVEL INDEXING           BWNR= 480950912.4   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   272     3    2P1 6H1             (1)*( 6.0) 41716517.4 
   273     3    2P1 6H1             (1)*( 4.0) 41716517.4 
   274     3    2P1 6H1             (1)*( 5.0) 41716517.4 
   275     3    2P1 6H1             (1)*( 6.0) 41716517.4 
   276     3    2P1 6H1             (1)*( 7.0) 41716517.4 
   277     2    2P1 7S1             (3)1( 0.0) 41930160.4 
   278     2    2P1 7S1             (3)1( 1.0) 41931159.1 
   279     2    2P1 7P1             (3)2( 1.0) 41946653.1 
   280     2    2P1 7P1             (3)1( 0.0) 41955124.2 
   281     2    2P1 7P1             (3)1( 1.0) 41970820.0 
   282     2    2P1 7P1             (3)2( 2.0) 41971707.2 
   283     2    2P1 7D1             (3)3( 2.0) 41979448.0 
   284     2    2P1 7D1             (3)2( 1.0) 41986409.7 
   285     2    2P1 7D1             (1)2( 2.0) 41990070.7 
   286     2    2P1 7D1             (3)2( 3.0) 41991263.1 
   287     2    2P1 7F1             (3)4( 3.0) 41993730.0 
   288     2    2P1 7F1             (3)2( 2.0) 41995163.2 
   289     2    2P1 7F1             (3)2( 3.0) 41997862.6 
   290     2    2P1 7F1             (3)3( 4.0) 41998255.2 
   291     2    2P1 7G1             (1)*( 3.0) 42003844.5 
   292     2    2P1 7G1             (1)*( 4.0) 42003844.5 
   293     2    2P1 7G1             (1)*( 4.0) 42003844.5 
   294     2    2P1 7G1             (1)*( 5.0) 42003844.5 
   295     2    2P1 7H1             (1)*( 4.0) 42004137.0 
   296     2    2P1 7H1             (1)*( 5.0) 42004137.0 
   297     2    2P1 7H1             (1)*( 5.0) 42004137.0 
   298     2    2P1 7H1             (1)*( 6.0) 42004137.0 
   299     2    2P1 7I1             (1)*( 5.0) 42004267.7 
   300     2    2P1 7I1             (1)*( 6.0) 42004267.7 
   301     2    2P1 7I1             (1)*( 6.0) 42004267.7 
   302     2    2P1 7I1             (1)*( 7.0) 42004267.7 
   303     1    2S1 8S1             (3)0( 1.0) 42046190.9 
   304     1    2S1 8S1             (1)0( 0.0) 42050412.5 
   305     1    2S1 8P1             (3)1( 0.0) 42059844.6 
   306     1    2S1 8P1             (3)1( 1.0) 42060376.6 
   307     1    2S1 8P1             (3)1( 2.0) 42073932.8 
   308     1    2S1 8P1             (1)1( 1.0) 42075132.8 
   309     1    2S1 8D1             (3)2( 1.0) 42081872.0 
   310     1    2S1 8D1             (3)2( 2.0) 42082750.6 
   311     1    2S1 8D1             (3)2( 3.0) 42086439.2 
   312     1    2S1 8D1             (1)2( 2.0) 42088978.1 
   313     1    2S1 8F1             (3)3( 2.0) 42090608.1 
   314     1    2S1 8F1             (3)3( 3.0) 42091032.6 
   315     1    2S1 8F1             (3)3( 4.0) 42092871.5 
   316     1    2S1 8F1             (1)3( 3.0) 42093877.8 
   317     1    2S1 8G1             (1)*( 3.0) 42097918.9 
   318     1    2S1 8G1             (1)*( 4.0) 42097918.9 
   319     1    2S1 8G1             (1)*( 4.0) 42097918.9 
   320     1    2S1 8G1             (1)*( 5.0) 42097918.9 
   321     1    2S1 8H1             (1)*( 4.0) 42098114.9 
   322     1    2S1 8H1             (1)*( 5.0) 42098114.9 
   323     1    2S1 8H1             (1)*( 5.0) 42098114.9 
   324     1    2S1 8H1             (1)*( 6.0) 42098114.9 
   325     1    2S1 8I1             (1)*( 5.0) 42098202.4 
   326     1    2S1 8I1             (1)*( 6.0) 42098202.4 
   327     1    2S1 8I1             (1)*( 6.0) 42098202.4 
   328     1    2S1 8I1             (1)*( 7.0) 42098202.4 
   329     1    2S1 8J1             (1)*( 6.0) 42098247.2 
   330     1    2S1 8J1             (1)*( 7.0) 42098247.2 
   331     1    2S1 8J1             (1)*( 7.0) 42098247.2 
   332     1    2S1 8J1             (1)*( 8.0) 42098247.2 
   333     2    2P1 8S1             (3)1( 0.0) 42752792.1 
   334     2    2P1 8S1             (3)1( 1.0) 42753450.2 
   335     2    2P1 8P1             (3)2( 1.0) 42763838.8 
   336     2    2P1 8P1             (3)1( 0.0) 42769397.6 
   337     2    2P1 8P1             (3)1( 1.0) 42779968.9 
   338     2    2P1 8P1             (3)2( 2.0) 42780557.7 
   339     2    2P1 8D1             (3)3( 2.0) 42785758.3 
   340     2    2P1 8D1             (3)2( 1.0) 42790332.2 
   341     2    2P1 8D1             (1)2( 2.0) 42792819.7 
