SEQ='N '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 551357853.5   NPRNTI= 4   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   287    10    2P4 5D1             (2)1( 2.5) 35393305.4 
   288     5    2S1 2P3 6P1         (4)1( 5.5) 35721295.9 
   289     1    2S2 2P2 7S1         (4)1( 5.5) 35731900.8 
   290     1    2S2 2P2 7S1         (2)1( 2.5) 35736093.3 
   291     1    2S2 2P2 7P1         (2)0( 0.5) 35756905.4 
   292     1    2S2 2P2 7P1         (4)2( 9.5) 35759549.9 
   293     5    2S1 2P3 6D1         (4)2( 9.5) 35760178.4 
   294     1    2S2 2P2 7P1         (4)1( 5.5) 35761312.6 
   295     1    2S2 2P2 7P1         (4)0( 1.5) 35765677.3 
   296     1    2S2 2P2 7P1         (2)2( 4.5) 35766577.4 
   297     1    2S2 2P2 7P1         (2)1( 2.5) 35770282.3 
   298     5    2S1 2P3 6F1         (4)3(13.5) 35787280.4 
   299     1    2S2 2P2 7D1         (4)3(13.5) 35787604.3 
   300     1    2S2 2P2 7D1         (4)2( 9.5) 35789998.3 
   301     1    2S2 2P2 7D1         (2)1( 2.5) 35790988.1 
   302     1    2S2 2P2 7D1         (4)1( 5.5) 35793246.5 
   303     1    2S2 2P2 7D1         (2)3( 6.5) 35796985.6 
   304     1    2S2 2P2 7D1         (2)2( 4.5) 35802200.7 
   305     1    2S2 2P2 7F1         (4)4(17.5) 35807459.5 
   306     1    2S2 2P2 7F1         (4)2( 9.5) 35807652.4 
   307     1    2S2 2P2 7F1         (2)2( 4.5) 35807837.0 
   308     1    2S2 2P2 7F1         (2)4( 8.5) 35809527.4 
   309     1    2S2 2P2 7F1         (4)3(13.5) 35810052.9 
   310     1    2S2 2P2 7G1         (4)3(13.5) 35811157.6 
   311     1    2S2 2P2 7G1         (2)3( 6.5) 35811157.6 
   312     1    2S2 2P2 7G1         (4)4(17.5) 35811157.6 
   313     1    2S2 2P2 7G1         (2)4( 8.5) 35811157.6 
   314     1    2S2 2P2 7G1         (4)5(21.5) 35811157.6 
   315     1    2S2 2P2 7G1         (2)5(10.5) 35811157.6 
   316     1    2S2 2P2 7H1         (4)4(17.5) 35811851.9 
   317     1    2S2 2P2 7H1         (2)4( 8.5) 35811851.9 
   318     1    2S2 2P2 7H1         (4)5(21.5) 35811851.9 
   319     1    2S2 2P2 7H1         (2)5(10.5) 35811851.9 
   320     1    2S2 2P2 7H1         (4)6(25.5) 35811851.9 
   321     1    2S2 2P2 7H1         (2)6(12.5) 35811851.9 
   322     1    2S2 2P2 7I1         (4)5(21.5) 35812162.1 
   323     1    2S2 2P2 7I1         (2)5(10.5) 35812162.1 
   324     1    2S2 2P2 7I1         (4)6(25.5) 35812162.1 
   325     1    2S2 2P2 7I1         (2)6(12.5) 35812162.1 
   326     1    2S2 2P2 7I1         (4)7(29.5) 35812162.1 
   327     1    2S2 2P2 7I1         (2)7(14.5) 35812162.1 
   328     1    2S2 2P2 7F1         (2)3( 6.5) 35812866.1 
   329     6    2S1 2P3 6P1         (4)1( 5.5) 35896782.6 
   330     2    2S2 2P2 7S1         (2)2( 4.5) 35912501.2 
   331     2    2S2 2P2 7P1         (2)3( 6.5) 35940880.2 
   332     2    2S2 2P2 7P1         (2)2( 4.5) 35941848.8 
   333     6    2S1 2P3 6D1         (4)2( 9.5) 35941958.5 
   334     2    2S2 2P2 7P1         (2)1( 2.5) 35945522.3 
   335     6    2S1 2P3 6F1         (4)3(13.5) 35967326.9 
   336     2    2S2 2P2 7D1         (2)4( 8.5) 35970078.3 
   337     2    2S2 2P2 7D1         (2)3( 6.5) 35970196.2 
   338     2    2S2 2P2 7D1         (2)2( 4.5) 35972463.8 
   339     2    2S2 2P2 7D1         (2)1( 2.5) 35975493.0 
   340     2    2S2 2P2 7D1         (2)0( 0.5) 35977238.5 
   341     2    2S2 2P2 7F1         (2)4( 8.5) 35986209.6 
   342     2    2S2 2P2 7F1         (2)3( 6.5) 35986936.5 
   343     2    2S2 2P2 7F1         (2)5(10.5) 35989086.4 
   344     2    2S2 2P2 7F1         (2)2( 4.5) 35989370.6 
   345     2    2S2 2P2 7G1         (2)2( 4.5) 35990360.4 
   346     2    2S2 2P2 7G1         (2)3( 6.5) 35990360.4 
   347     2    2S2 2P2 7G1         (2)4( 8.5) 35990360.4 
   348     2    2S2 2P2 7G1         (2)5(10.5) 35990360.4 
   349     2    2S2 2P2 7G1         (2)6(12.5) 35990360.4 
   350     2    2S2 2P2 7H1         (2)3( 6.5) 35991054.8 
   351     2    2S2 2P2 7H1         (2)4( 8.5) 35991054.8 
   352     2    2S2 2P2 7H1         (2)5(10.5) 35991054.8 
   353     2    2S2 2P2 7H1         (2)6(12.5) 35991054.8 
   354     2    2S2 2P2 7H1         (2)7(14.5) 35991054.8 
   355     2    2S2 2P2 7I1         (2)4( 8.5) 35991365.0 
   356     2    2S2 2P2 7I1         (2)5(10.5) 35991365.0 
   357     2    2S2 2P2 7I1         (2)6(12.5) 35991365.0 
   358     2    2S2 2P2 7I1         (2)7(14.5) 35991365.0 
   359     2    2S2 2P2 7I1         (2)8(16.5) 35991365.0 
   360     2    2S2 2P2 7F1         (2)1( 2.5) 35991816.1 
   361     3    2S2 2P2 7S1         (2)0( 0.5) 36099829.5 
   362     3    2S2 2P2 7P1         (2)1( 2.5) 36129369.4 
   363     3    2S2 2P2 7D1         (2)2( 4.5) 36158783.0 
   364     3    2S2 2P2 7F1         (2)3( 6.5) 36175461.9 
   365     3    2S2 2P2 7G1         (2)4( 8.5) 36177557.0 
   366     3    2S2 2P2 7H1         (2)5(10.5) 36178251.4 
   367     7    2S1 2P3 6S1         (4)0( 1.5) 36178381.0 
   368     3    2S2 2P2 7I1         (2)6(12.5) 36178561.6 
   369     7    2S1 2P3 6P1         (4)1( 5.5) 36222500.6 
   370     4    2S1 2P3 7S1         (6)0( 2.5) 36232230.0 
   371     4    2S1 2P3 7S1         (4)0( 1.5) 36241218.8 
   372     4    2S1 2P3 7P1         (6)1( 8.5) 36261116.7 
   373     4    2S1 2P3 7P1         (4)1( 5.5) 36270125.1 
   374     4    2S1 2P3 7D1         (6)2(14.5) 36288648.7 
   375     4    2S1 2P3 7D1         (4)2( 9.5) 36301846.0 
   376     4    2S1 2P3 7F1         (6)3(20.5) 36308456.8 
   377     4    2S1 2P3 7G1         (6)4(26.5) 36311616.6 
   378     4    2S1 2P3 7G1         (4)4(17.5) 36311616.6 
   379     4    2S1 2P3 7F1         (4)3(13.5) 36311854.4 
   380     4    2S1 2P3 7H1         (6)5(32.5) 36312311.0 
