SEQ='O '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 590072887.4   NPRNTI= 3   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P3             (4)0( 1.5)        0.0 
     2          2S2 2P3             (2)2( 4.5)   265620.5 
     3          2S2 2P3             (2)1( 2.5)   392182.5 
     4          2S1 2P4             (4)1( 5.5)  1173486.9*
     5          2S1 2P4             (2)2( 4.5)  1608714.1*
     6          2S1 2P4             (2)0( 0.5)  1874334.6*
     7          2S1 2P4             (2)1( 2.5)  1947927.4*
     8          2P5                 (2)1( 2.5)  3080945.1*

   LS RESOLVED TERM INDEXING            BWNR= 627005032.3   NTRM= 526
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   318     2    2S2 2P3 7D1         (3)0( 1.0) 34436280.1 
   319     2    2S2 2P3 7D1         (1)2( 2.0) 34438439.0 
   320     2    2S2 2P3 7D1         (1)3( 3.0) 34441010.7 
   321     2    2S2 2P3 7F1         (3)4(13.0) 34449626.2 
   322     2    2S2 2P3 7F1         (3)5(16.0) 34449958.9 
   323     2    2S2 2P3 7F1         (3)3(10.0) 34450013.8 
   324     2    2S2 2P3 7F1         (1)1( 1.0) 34450059.4 
   325     2    2S2 2P3 7F1         (1)5( 5.0) 34450180.9 
   326     2    2S2 2P3 7F1         (3)2( 7.0) 34450532.6 
   327     2    2S2 2P3 7F1         (1)2( 2.0) 34451094.0 
   328     2    2S2 2P3 7F1         (3)1( 4.0) 34451148.3 
   329     2    2S2 2P3 7F1         (1)3( 3.0) 34452172.2 
   330     2    2S2 2P3 7F1         (1)4( 4.0) 34452221.1 
   331     2    2S2 2P3 7G1         (3)2( 7.0) 34452607.1 
   332     2    2S2 2P3 7G1         (1)2( 2.0) 34452607.1 
   333     2    2S2 2P3 7G1         (3)3(10.0) 34452607.1 
   334     2    2S2 2P3 7G1         (1)3( 3.0) 34452607.1 
   335     2    2S2 2P3 7G1         (3)4(13.0) 34452607.1 
   336     2    2S2 2P3 7G1         (1)4( 4.0) 34452607.1 
   337     2    2S2 2P3 7G1         (3)5(16.0) 34452607.1 
   338     2    2S2 2P3 7G1         (1)5( 5.0) 34452607.1 
   339     2    2S2 2P3 7G1         (3)6(19.0) 34452607.1 
   340     2    2S2 2P3 7G1         (1)6( 6.0) 34452607.1 
   341     2    2S2 2P3 7H1         (3)3(10.0) 34453441.6 
   342     2    2S2 2P3 7H1         (1)3( 3.0) 34453441.6 
   343     2    2S2 2P3 7H1         (3)4(13.0) 34453441.6 
   344     2    2S2 2P3 7H1         (1)4( 4.0) 34453441.6 
